Ticker,Best BB Dev,Sharpe Medio,Sharpe Std Dev,Pct Parametros Positivos (%),Fator de Estabilidade,Num Parametros Testados
GOOGL,"(np.int64(200), np.float64(0.7999999999999998))",0.5058,0.0416,100.0000,12.1557,13
GC=F,"(np.int64(200), np.float64(0.7))",0.6701,0.0601,100.0000,11.1565,13
TAEE11.SA,"(np.int64(200), np.float64(0.7999999999999998))",0.6740,0.0621,100.0000,10.8582,13
PRIO3.SA,"(np.int64(200), np.float64(0.5499999999999999))",0.6790,0.0732,100.0000,9.2698,13
ENGI11.SA,"(np.int64(200), np.float64(0.5499999999999999))",0.6266,0.0708,100.0000,8.8463,13
GOOG,"(np.int64(200), np.float64(0.7999999999999998))",0.5863,0.0667,100.0000,8.7947,13
EGIE3.SA,"(np.int64(200), np.float64(0.25))",0.4987,0.0603,100.0000,8.2638,13
META,"(np.int64(200), np.float64(0.44999999999999996))",0.7711,0.0935,100.0000,8.2427,13
ORCL,"(np.int64(200), np.float64(0.49999999999999994))",0.3982,0.0524,100.0000,7.5963,13
EMBR3.SA,"(np.int64(200), np.float64(0.2))",0.3370,0.0481,100.0000,7.0014,13
^DJI,"(np.int64(200), np.float64(0.3))",0.4305,0.0647,100.0000,6.6503,13
CL=F,"(np.int64(200), np.float64(0.2))",0.4351,0.0694,100.0000,6.2725,13
MU,"(np.int64(200), np.float64(0.5499999999999999))",0.2456,0.0402,100.0000,6.1030,13
AMZN,"(np.int64(200), np.float64(0.5999999999999999))",0.4593,0.0763,100.0000,6.0180,13
CYRE3.SA,"(np.int64(200), np.float64(0.7499999999999998))",0.3661,0.0650,100.0000,5.6343,13
PCAR3.SA,"(np.int64(200), np.float64(0.39999999999999997))",0.2194,0.0390,100.0000,5.6303,13
^FTSE,"(np.int64(200), np.float64(0.3))",0.2636,0.0473,100.0000,5.5774,13
SNPS,"(np.int64(200), np.float64(0.39999999999999997))",0.3255,0.0614,100.0000,5.3005,13
ASML,"(np.int64(200), np.float64(0.3))",0.5774,0.1112,100.0000,5.1925,13
MSFT,"(np.int64(200), np.float64(0.6499999999999999))",0.4297,0.0844,100.0000,5.0911,13
EZTC3.SA,"(np.int64(200), np.float64(0.5499999999999999))",0.3682,0.0753,100.0000,4.8921,13
HYPE3.SA,"(np.int64(200), np.float64(0.44999999999999996))",0.2715,0.0555,100.0000,4.8901,13
GBPJPY=X,"(np.int64(200), np.float64(0.35))",0.2382,0.0487,100.0000,4.8895,13
^FCHI,"(np.int64(200), np.float64(0.6499999999999999))",0.4087,0.0882,100.0000,4.6317,13
ITUB4.SA,"(np.int64(200), np.float64(0.7999999999999998))",0.4276,0.0997,100.0000,4.2874,13
INTC,"(np.int64(200), np.float64(0.5999999999999999))",0.2283,0.0540,100.0000,4.2281,13
PETR4.SA,"(np.int64(200), np.float64(0.44999999999999996))",0.5130,0.1218,100.0000,4.2122,13
GGBR4.SA,"(np.int64(200), np.float64(0.6499999999999999))",0.3808,0.0904,100.0000,4.2101,13
NVDA,"(np.int64(200), np.float64(0.6499999999999999))",0.4423,0.1051,100.0000,4.2088,13
RAIL3.SA,"(np.int64(200), np.float64(0.5999999999999999))",0.5750,0.1426,100.0000,4.0310,13
