Ticker,Retorno Total (%),Lucro Líquido (Cash),Total de Trades,Win Rate (%),Sharpe Ratio,Max Drawdown (%),Trades por Ano
RAIZ4.SA,61.19,61188.47,5,25.00,0.92,22.34,1.15
LINK-USD,368.89,368894.31,9,22.22,0.83,45.32,1.12
AVGO,474.32,474320.15,6,66.67,0.74,28.74,0.37
DIRR3.SA,108.84,108835.78,9,22.22,0.60,43.47,0.56
AZUL4.SA,70.60,70604.33,6,20.00,0.58,24.70,0.69
PRIO3.SA,255.05,255053.73,15,26.67,0.56,50.26,0.99
BRAP4.SA,434.68,434679.62,18,44.44,0.56,49.63,0.69
GC=F,121.53,121533.40,9,55.56,0.49,18.70,0.36
VALE3.SA,154.42,154421.61,15,26.67,0.42,49.88,0.58
EWZ,153.07,153068.16,17,23.53,0.42,51.81,0.67
ENGI11.SA,54.66,54658.34,8,25.00,0.39,20.33,0.50
GBPJPY=X,52.42,52416.63,11,50.00,0.38,22.67,0.50
WEGE3.SA,128.59,128585.56,13,30.77,0.38,34.67,0.50
^DJI,109.51,109511.88,11,54.55,0.37,20.12,0.32
TSLA,47.15,47152.21,5,20.00,0.34,22.06,0.32
USDBRL=X,41.17,41174.19,7,57.14,0.31,25.71,0.32
^N225,202.51,202507.23,28,39.29,0.30,36.47,0.46
MSFT,127.05,127047.13,16,26.67,0.30,53.18,0.40
ITUB4.SA,80.29,80289.07,12,33.33,0.30,38.92,0.48
SI=F,68.64,68635.07,11,27.27,0.28,26.28,0.44
^HSI,107.25,107253.34,26,26.92,0.28,42.79,0.67
USDCAD=X,17.79,17792.59,10,30.00,0.28,10.98,0.45
EQTL3.SA,37.09,37091.86,14,21.43,0.24,39.01,0.79
ADBE,91.13,91132.48,16,25.00,0.23,42.84,0.41
TAEE11.SA,29.06,29060.54,9,33.33,0.22,23.34,0.50
SANB11.SA,21.83,21825.40,8,12.50,0.22,26.30,0.50
CPLE6.SA,38.43,38433.03,9,22.22,0.19,42.66,0.35
CYRE3.SA,39.29,39293.55,17,23.53,0.19,58.13,0.66
CVCB3.SA,15.23,15226.64,10,11.11,0.19,55.14,0.83
META,17.16,17156.69,9,25.00,0.19,42.81,0.66
BBSE3.SA,13.61,13609.14,7,16.67,0.18,28.88,0.56
AMZN,27.91,27910.65,23,17.39,0.16,58.05,0.81
ENEV3.SA,9.74,9742.00,10,20.00,0.15,55.30,0.56
SNPS,28.08,28083.97,11,27.27,0.15,38.21,0.33
ITSA4.SA,-2.88,-2878.71,15,26.67,0.14,54.79,0.58
PETR4.SA,16.98,16979.00,15,26.67,0.14,61.77,0.58
PETR3.SA,10.48,10475.87,21,19.05,0.11,62.60,0.81
^IXIC,25.32,25319.43,32,28.12,0.11,50.20,0.58
USDJPY=X,9.40,9396.04,14,28.57,0.10,17.38,0.48
