Ticker,Sharpe Medio,Sharpe Std Dev,Pct Parametros Positivos (%),Fator de Estabilidade,Num Parametros Testados
GOOGL,0.51,0.04,100.00,12.16,13
GC=F,0.67,0.06,100.00,11.16,13
TAEE11.SA,0.67,0.06,100.00,10.86,13
PRIO3.SA,0.68,0.07,100.00,9.27,13
ENGI11.SA,0.63,0.07,100.00,8.85,13
GOOG,0.59,0.07,100.00,8.79,13
EGIE3.SA,0.50,0.06,100.00,8.26,13
META,0.77,0.09,100.00,8.24,13
ORCL,0.40,0.05,100.00,7.60,13
EMBR3.SA,0.34,0.05,100.00,7.00,13
^DJI,0.43,0.06,100.00,6.65,13
CL=F,0.44,0.07,100.00,6.27,13
MU,0.25,0.04,100.00,6.10,13
AMZN,0.46,0.08,100.00,6.02,13
CYRE3.SA,0.37,0.06,100.00,5.63,13
PCAR3.SA,0.22,0.04,100.00,5.63,13
^FTSE,0.26,0.05,100.00,5.58,13
SNPS,0.33,0.06,100.00,5.30,13
ASML,0.58,0.11,100.00,5.19,13
MSFT,0.43,0.08,100.00,5.09,13
EZTC3.SA,0.37,0.08,100.00,4.89,13
HYPE3.SA,0.27,0.06,100.00,4.89,13
GBPJPY=X,0.24,0.05,100.00,4.89,13
^FCHI,0.41,0.09,100.00,4.63,13
ITUB4.SA,0.43,0.10,100.00,4.29,13
INTC,0.23,0.05,100.00,4.23,13
PETR4.SA,0.51,0.12,100.00,4.21,13
GGBR4.SA,0.38,0.09,100.00,4.21,13
NVDA,0.44,0.11,100.00,4.21,13
RAIL3.SA,0.58,0.14,100.00,4.03,13
SBSP3.SA,0.27,0.07,100.00,4.01,13
AURE3.SA,0.17,0.04,100.00,3.99,8
ETH-USD,0.60,0.15,100.00,3.98,13
BBSE3.SA,0.27,0.07,100.00,3.93,13
UGPA3.SA,0.14,0.03,100.00,3.90,13
ABEV3.SA,0.45,0.12,100.00,3.83,13
^IXIC,0.31,0.08,100.00,3.76,13
SOL-USD,0.38,0.12,100.00,3.33,13
SI=F,0.19,0.06,100.00,3.33,13
VIVT3.SA,0.29,0.09,100.00,3.32,13
WEGE3.SA,0.39,0.13,100.00,3.11,13
^GDAXI,0.52,0.18,100.00,2.91,13
^N225,0.15,0.05,100.00,2.86,13
DOGE-USD,0.19,0.07,100.00,2.81,13
VALE3.SA,0.27,0.10,100.00,2.77,13
EURJPY=X,0.11,0.04,100.00,2.76,13
ADBE,0.42,0.16,100.00,2.67,13
CXSE3.SA,0.53,0.20,100.00,2.66,11
PETR3.SA,0.35,0.14,100.00,2.62,13
CMIN3.SA,0.65,0.25,92.31,2.59,13
LINK-USD,0.32,0.13,100.00,2.55,13
BBDC3.SA,0.38,0.15,100.00,2.50,13
SAP,0.21,0.09,100.00,2.48,13
MULT3.SA,0.33,0.13,92.31,2.48,13
AAPL,0.17,0.07,100.00,2.32,13
CRM,0.40,0.17,100.00,2.29,13
ENEV3.SA,0.21,0.09,100.00,2.25,13
EWZ,0.34,0.15,100.00,2.24,13
EURGBP=X,0.11,0.05,92.31,2.22,13
^GSPC,0.16,0.08,100.00,2.11,13
CSCO,0.19,0.09,92.31,2.09,13
RADL3.SA,0.17,0.08,100.00,2.05,13
CSNA3.SA,0.16,0.08,92.31,2.02,13
IBM,0.21,0.10,100.00,2.00,13
XRP-USD,0.44,0.23,92.31,1.94,13
GOAU4.SA,0.20,0.11,92.31,1.79,13
AMD,0.17,0.09,100.00,1.79,13
CSAN3.SA,0.21,0.12,92.31,1.74,13
NFLX,0.32,0.18,92.31,1.73,13
CPFE3.SA,0.19,0.11,92.31,1.70,13
EQTL3.SA,0.31,0.18,92.31,1.70,13
^HSI,0.17,0.10,100.00,1.64,13
USDCAD=X,0.11,0.07,84.62,1.62,13
LREN3.SA,0.14,0.10,100.00,1.49,13
AVGO,0.19,0.13,92.31,1.45,13
HG=F,0.10,0.07,84.62,1.40,13
BNB-USD,0.27,0.22,92.31,1.25,13
AZUL4.SA,0.21,0.17,92.31,1.22,13
CPLE6.SA,0.12,0.11,92.31,1.14,13
ITSA4.SA,0.19,0.18,84.62,1.05,13
BBAS3.SA,0.20,0.19,76.92,1.02,13
BRKM5.SA,0.12,0.12,92.31,0.99,13
SMFT3.SA,0.32,0.34,84.62,0.93,13
B3SA3.SA,0.09,0.10,76.92,0.92,13
ADA-USD,0.11,0.12,69.23,0.90,13
EURCAD=X,0.06,0.07,61.54,0.77,13
BTC-USD,0.17,0.22,76.92,0.77,13
BPAC11.SA,0.28,0.37,69.23,0.77,13
SANB11.SA,0.09,0.13,61.54,0.75,13
AUDJPY=X,0.08,0.11,84.62,0.73,13
TIMS3.SA,0.05,0.08,76.92,0.70,13
VBBR3.SA,0.07,0.10,84.62,0.70,13
PYPL,0.11,0.17,69.23,0.61,13
ECOR3.SA,0.12,0.20,76.92,0.60,13
ASAI3.SA,0.24,0.41,46.15,0.57,13
TOTS3.SA,0.12,0.21,76.92,0.56,13
TSLA,0.07,0.13,69.23,0.50,13
ELET6.SA,0.07,0.15,53.85,0.43,13
TXN,0.04,0.10,46.15,0.40,13
KLBN11.SA,0.05,0.15,76.92,0.36,13
MATIC-USD,0.06,0.19,61.54,0.33,13
IGTI11.SA,0.11,0.35,45.45,0.33,11
USDBRL=X,0.01,0.07,53.85,0.15,13
IRBR3.SA,-0.02,0.12,46.15,-0.13,13
RDOR3.SA,-0.04,0.21,38.46,-0.19,13
USIM5.SA,-0.03,0.10,46.15,-0.32,13
AVAX-USD,-0.06,0.18,46.15,-0.36,13
SLCE3.SA,-0.09,0.22,38.46,-0.40,13
BRAP4.SA,-0.09,0.23,53.85,-0.40,13
BEEF3.SA,-0.06,0.14,30.77,-0.46,13
ELET3.SA,-0.05,0.09,38.46,-0.55,13
RECV3.SA,-0.30,0.52,46.15,-0.57,13
BBDC4.SA,-0.10,0.16,30.77,-0.63,13
USDJPY=X,-0.08,0.12,38.46,-0.65,13
QCOM,-0.04,0.06,30.77,-0.70,13
DIRR3.SA,-0.24,0.30,38.46,-0.80,13
YDUQ3.SA,-0.08,0.08,23.08,-0.99,13
EURUSD=X,-0.10,0.09,15.38,-1.11,13
MGLU3.SA,-0.27,0.24,15.38,-1.14,13
^TNX,-0.08,0.07,7.69,-1.28,13
EURAUD=X,-0.11,0.08,7.69,-1.34,13
SUZB3.SA,-0.37,0.26,0.00,-1.42,13
CMIG4.SA,-0.13,0.08,7.69,-1.66,13
RENT3.SA,-0.17,0.09,0.00,-1.86,13
CVCB3.SA,-0.59,0.25,0.00,-2.36,13
ALOS3.SA,-0.50,0.19,0.00,-2.63,13
NZDUSD=X,-0.19,0.07,0.00,-2.63,13
SHIB-USD,-0.41,0.15,0.00,-2.65,13
MRVE3.SA,-0.31,0.11,0.00,-2.73,13
HAPV3.SA,-0.42,0.15,0.00,-2.80,13
FLRY3.SA,-0.18,0.06,0.00,-2.89,13
LWSA3.SA,-0.34,0.11,0.00,-3.08,13
GBPUSD=X,-0.20,0.07,0.00,-3.10,13
AUDUSD=X,-0.39,0.11,0.00,-3.52,13
USDCHF=X,-0.25,0.07,0.00,-3.67,13
COGN3.SA,-0.44,0.09,0.00,-5.01,13
DOT-USD,-0.59,0.11,0.00,-5.23,13
