z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),24,-0.5361073314270669,-0.8950336657006841,0.017269908365471362,37.5,5
Barato (-2.5 a -1.5),126,-0.5105845759988629,-0.4768192192974141,0.02862667274995008,37.301587301587304,5
Leve Desc (-1.5 a -0.5),161,0.12796389753999693,0.07418471585651787,0.027691844083204336,50.31055900621118,5
Neutro,190,0.3579292644481118,0.03489461308568975,0.03053189504779556,50.0,5
Leve Premio (0.5 a 1.5),161,0.6636989774550492,0.21444102930749942,0.034079729733804756,53.41614906832298,5
Caro (1.5 a 2.5),173,-0.03379675984547505,0.0750689483480782,0.036139208095530326,50.0,5
Muito Caro (>2.5),20,-0.7901993960700932,-0.5175040233464157,0.02716857425286199,40.0,5
Muito Barato (<-2.5),24,-1.1184898820295843,-1.4672101756331046,0.020449551437465477,29.166666666666668,10
Barato (-2.5 a -1.5),126,-1.619306671756891,-1.5980681280345799,0.042899329843690596,38.095238095238095,10
Leve Desc (-1.5 a -0.5),161,0.7877262279196714,0.38511311684912286,0.04038072725002321,52.79503105590062,10
Neutro,190,0.6470129921730006,0.14503438561073168,0.037599079393525865,54.21052631578947,10
Leve Premio (0.5 a 1.5),161,1.0063402144833942,1.2125498802606494,0.04480713956894891,56.52173913043478,10
Caro (1.5 a 2.5),169,0.04878021471300262,0.0,0.04697033829065145,47.19101123595505,10
Muito Caro (>2.5),19,0.11333942714360473,0.2020248336801478,0.031494150280928834,50.0,10
Muito Barato (<-2.5),24,-0.922427091443069,-1.1034055480065141,0.026325548433650876,37.5,20
Barato (-2.5 a -1.5),126,-3.3680363715377095,-3.567830670122291,0.07638045656171093,27.77777777777778,20
Leve Desc (-1.5 a -0.5),161,2.3707911048204404,2.3138008174796942,0.06780634953737738,59.62732919254658,20
Neutro,190,0.5624937153235288,-0.13981525332804057,0.05000614828937539,46.8421052631579,20
Leve Premio (0.5 a 1.5),160,1.5401939247884011,0.8985392294584837,0.06226450563931732,53.41614906832298,20
Caro (1.5 a 2.5),160,0.3134913314423715,-0.25106257370848817,0.05826725682608653,41.57303370786517,20
Muito Caro (>2.5),19,0.9125026783970681,0.710656772723639,0.049220967808044934,50.0,20
Muito Barato (<-2.5),24,-4.824985442838932,-5.730707716435823,0.029678273427124875,4.166666666666666,40
Barato (-2.5 a -1.5),126,-4.868110653224626,-6.200225218564298,0.11943183010146512,29.365079365079367,40
Leve Desc (-1.5 a -0.5),161,3.037431227832695,2.387839848046558,0.10871210672206479,63.975155279503106,40
Neutro,190,1.0518012109422186,0.1080255153620091,0.07326104981461581,51.05263157894737,40
Leve Premio (0.5 a 1.5),157,2.746903234583545,0.7437308294518941,0.08349637920691934,53.41614906832298,40
Caro (1.5 a 2.5),143,1.3528390614962373,0.4328436328232321,0.05865540294047227,42.69662921348314,40
Muito Caro (>2.5),19,-2.4779160882349958,-3.99159764883229,0.05601454732636499,25.0,40
