z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),5,0.760799849850049,-0.37821251647733867,0.030188633958537114,40.0,5
Barato (-2.5 a -1.5),95,0.29503126528142654,0.4672914957249308,0.0463949013274982,52.63157894736842,5
Leve Desc (-1.5 a -0.5),247,0.34370064716034343,-0.3805963274925772,0.05289572018718444,45.74898785425101,5
Neutro,214,0.2636254215462602,-0.11830191560044945,0.0500795030210981,48.13084112149533,5
Leve Premio (0.5 a 1.5),210,0.572076607887653,0.07226167043347109,0.05063538126398949,49.30232558139535,5
Caro (1.5 a 2.5),140,-1.0548305397760203,-1.2517961565120195,0.053426438680560434,37.142857142857146,5
Muito Caro (>2.5),8,0.15516986669232152,0.4169138949611906,0.024488445618891283,50.0,5
Muito Barato (<-2.5),5,-0.29379404391375763,-2.010424150833978,0.03619392096121023,40.0,10
Barato (-2.5 a -1.5),95,0.45134953815127077,0.9844207753944234,0.06280374747403272,56.84210526315789,10
Leve Desc (-1.5 a -0.5),247,0.9480592076101391,-0.724635065319601,0.07832361454138326,43.31983805668016,10
Neutro,214,0.2692847072850786,0.0,0.06784138347514651,49.06542056074766,10
Leve Premio (0.5 a 1.5),208,0.9463577914737547,0.27813964874219277,0.06339683185532621,50.697674418604656,10
Caro (1.5 a 2.5),137,-1.5143929122153024,-1.8698621342004396,0.07213834507288655,37.857142857142854,10
Muito Caro (>2.5),8,-1.737880246464589,-1.4710666530679317,0.04049020591965283,50.0,10
Muito Barato (<-2.5),5,-0.9099315466771563,-3.555217353060902,0.07482790578849606,20.0,20
Barato (-2.5 a -1.5),95,0.7635436896463109,0.0,0.08107917840977238,49.473684210526315,20
Leve Desc (-1.5 a -0.5),247,1.2763378619077617,-0.9328452603987847,0.0953267368250878,46.558704453441294,20
Neutro,214,2.4996835451802712,3.7111610775399484,0.09744910341221986,63.55140186915887,20
Leve Premio (0.5 a 1.5),202,0.3491072917451293,-1.6147391825904467,0.09993406540569931,45.11627906976744,20
Caro (1.5 a 2.5),133,-2.1316954373270534,-1.5134615911497007,0.08498108180517534,38.57142857142858,20
Muito Caro (>2.5),8,-1.6759781055016119,-3.260035412994655,0.04379612612437939,37.5,20
Muito Barato (<-2.5),5,-5.220277235670061,-6.872246628154777,0.06753235311429277,20.0,40
Barato (-2.5 a -1.5),95,0.8892900182032716,-2.8484938494344525,0.12311130913667502,46.31578947368421,40
Leve Desc (-1.5 a -0.5),247,4.556957411924487,2.117981371343469,0.14026957841278348,56.68016194331984,40
Neutro,201,4.8693831218707535,5.596118618842749,0.12715560903894044,61.6822429906542,40
Leve Premio (0.5 a 1.5),196,-2.376882344153747,-4.198670950609723,0.11969955771999688,33.48837209302326,40
Caro (1.5 a 2.5),132,-2.515888967326949,-6.5112283267732165,0.12393701485062127,37.857142857142854,40
Muito Caro (>2.5),8,3.8296929523943533,3.2841057325471157,0.06119407003624949,75.0,40
