z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),7,0.634125804918514,0.4167883395968186,0.01873607817688863,71.42857142857143,5
Barato (-2.5 a -1.5),54,1.0575255973549944,0.9965752513139359,0.02077505736447047,64.81481481481481,5
Leve Desc (-1.5 a -0.5),215,0.5324105196823437,0.5504604393703483,0.026462840337384205,58.139534883720934,5
Neutro,211,0.4279189878064707,0.38302624957002873,0.025890150863286856,57.27699530516433,5
Leve Premio (0.5 a 1.5),200,0.595030038929881,0.5514071577961022,0.027656759632715862,56.15763546798029,5
Caro (1.5 a 2.5),172,-0.29332882538614186,-0.18519353814223094,0.032621878677556185,47.093023255813954,5
Muito Caro (>2.5),60,0.3598245497209098,0.13958842763788226,0.02602129220954619,53.333333333333336,5
Muito Barato (<-2.5),7,2.153446257418588,2.2845806122019363,0.01713326986737423,100.0,10
Barato (-2.5 a -1.5),54,1.758827123980945,2.618596946308127,0.02616202279288967,75.92592592592592,10
Leve Desc (-1.5 a -0.5),215,0.9016984001179432,0.6548864623635575,0.03407165439321826,60.46511627906976,10
Neutro,207,0.5478106086745288,0.42721230064919347,0.036818276761330856,52.58215962441315,10
Leve Premio (0.5 a 1.5),199,1.0388997994095337,0.82376144334666,0.03591948498459309,56.15763546798029,10
Caro (1.5 a 2.5),172,-0.042409850104151,0.3124595031159805,0.040591285942694726,54.06976744186046,10
Muito Caro (>2.5),60,1.1961179304831087,2.083429433058348,0.03984314836258689,61.66666666666667,10
Muito Barato (<-2.5),7,1.9856020806475398,1.5115582944025485,0.04101960902170401,71.42857142857143,20
Barato (-2.5 a -1.5),54,1.8093887602139078,1.53333772686165,0.03186313698950315,75.92592592592592,20
Leve Desc (-1.5 a -0.5),215,1.9257503502765636,1.503761728509545,0.04665246578048379,65.11627906976744,20
Neutro,197,1.1211861557842306,1.2128943320729002,0.05237098272927713,53.990610328638496,20
Leve Premio (0.5 a 1.5),199,1.1228278245937078,0.18728224466066923,0.05408926491022996,50.73891625615764,20
Caro (1.5 a 2.5),172,1.7182234624364943,2.782961551645635,0.05345246966421547,68.02325581395348,20
Muito Caro (>2.5),60,1.6209379413176148,0.8862375032641645,0.05560518328208977,56.666666666666664,20
Muito Barato (<-2.5),7,1.8494250005854047,1.2675723561147878,0.046626366005569665,71.42857142857143,40
Barato (-2.5 a -1.5),54,3.6963596399401943,2.694207020600925,0.05115218212534353,83.33333333333334,40
Leve Desc (-1.5 a -0.5),205,3.14907933971695,2.196160428498839,0.06735920315346579,59.06976744186046,40
Neutro,187,2.8775232643332824,1.299142370572537,0.07603129741475474,53.52112676056338,40
Leve Premio (0.5 a 1.5),199,3.4833422752020082,4.169261332862106,0.08303293647237361,63.05418719211823,40
Caro (1.5 a 2.5),172,3.4111035690489,4.288483968170887,0.08496843394529388,63.372093023255815,40
Muito Caro (>2.5),60,-0.019759135583791904,-2.7260869088460815,0.0660060399148356,43.333333333333336,40
