z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),9,4.739098713511398,2.626893039349132,0.06412870643564232,77.77777777777779,5
Barato (-2.5 a -1.5),237,1.0911336868825643,-0.2088390772654769,0.07859047446087898,48.52320675105485,5
Leve Desc (-1.5 a -0.5),379,-1.1415203958873725,-1.5463963770208755,0.07368124107106998,36.71875,5
Neutro,159,-2.7747474123082165,-3.3773865052282304,0.06030878360784432,26.41509433962264,5
Leve Premio (0.5 a 1.5),74,-0.4421743175268509,-2.601256615280839,0.07925097570351523,37.83783783783784,5
Caro (1.5 a 2.5),56,0.194338626353783,-2.2203083606373353,0.08665354365607694,39.285714285714285,5
Muito Caro (>2.5),5,0.43446797950944754,-2.137039248810013,0.07480545060807207,40.0,5
Muito Barato (<-2.5),9,7.022682285081566,3.264090353762783,0.10796862148755892,66.66666666666666,10
Barato (-2.5 a -1.5),237,2.6144046687582345,-0.09388991141484615,0.10954314054808642,49.36708860759494,10
Leve Desc (-1.5 a -0.5),374,-2.5876034282447993,-3.975603289442753,0.10177153527377401,33.59375,10
Neutro,159,-4.990955097722417,-5.938242495511615,0.08145129776001384,20.754716981132077,10
Leve Premio (0.5 a 1.5),74,1.6793125653999492,-2.6116968118383044,0.13680567160381354,39.189189189189186,10
Caro (1.5 a 2.5),56,-3.5736856412077236,-4.8034472854629975,0.0907861439849363,25.0,10
Muito Caro (>2.5),5,-1.655808537203074,-2.05531068649083,0.0945117727568392,20.0,10
Muito Barato (<-2.5),9,1.0760405339390635,2.5815991459606114,0.11060892805822338,55.55555555555556,20
Barato (-2.5 a -1.5),237,2.597663533131791,0.8539485375308464,0.1253801125748012,51.89873417721519,20
Leve Desc (-1.5 a -0.5),364,-4.206682333216819,-5.465212357779103,0.12548029275646408,34.89583333333333,20
Neutro,159,-7.651719290838528,-11.03327688672604,0.11161079066585927,17.61006289308176,20
Leve Premio (0.5 a 1.5),74,0.45772023399336886,-7.363901631462733,0.18672638654210222,37.83783783783784,20
Caro (1.5 a 2.5),56,-5.5875795022837575,-10.151601087396516,0.1277594318169769,25.0,20
Muito Caro (>2.5),5,-11.632062400254677,-13.33333333333333,0.06630418152105746,0.0,20
Muito Barato (<-2.5),9,0.006007879152435268,-3.6402585335470805,0.15287923324392244,22.22222222222222,40
Barato (-2.5 a -1.5),225,0.3774083578733132,-1.0169465663069421,0.14438888435267014,45.14767932489451,40
Leve Desc (-1.5 a -0.5),356,-4.997499325279843,-6.443681198393786,0.18964270867164038,23.4375,40
Neutro,159,-13.11969167000105,-17.992174482692825,0.16396036149653184,11.320754716981133,40
Leve Premio (0.5 a 1.5),74,-9.638617527596027,-12.7885517815585,0.13645138382466412,27.027027027027028,40
Caro (1.5 a 2.5),56,-14.990524909780437,-20.85730411924798,0.123486556459487,17.857142857142858,40
Muito Caro (>2.5),5,-19.6966088506385,-19.56666946411133,0.06673014416205682,0.0,40
