z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),7,1.920184663195585,1.2552239465614123,0.08969372574282972,57.14285714285714,5
Barato (-2.5 a -1.5),55,-1.2996039536524489,-1.675960440412838,0.05083913149479948,34.54545454545455,5
Leve Desc (-1.5 a -0.5),279,0.4756731148348404,0.7281642593456539,0.054397056515375006,53.04659498207885,5
Neutro,245,0.4620586604085733,-0.19230476935653273,0.054951199189956335,48.16326530612245,5
Leve Premio (0.5 a 1.5),206,0.40068124003178823,0.6072317592609622,0.054798253903247204,53.08056872037915,5
Caro (1.5 a 2.5),77,-1.1100871744037277,-2.1978008594465193,0.05974478517117039,33.76623376623377,5
Muito Caro (>2.5),50,4.363012643250836,2.889779662438763,0.06323029931868611,70.0,5
Muito Barato (<-2.5),7,1.2173904411425138,-3.308858283677496,0.10511261906340437,42.857142857142854,10
Barato (-2.5 a -1.5),55,-0.9212009368400645,-1.5850210637019413,0.08245354064560162,41.81818181818181,10
Leve Desc (-1.5 a -0.5),279,1.0866170279587275,0.2028598224193212,0.07649718369316652,50.53763440860215,10
Neutro,245,0.859776261180209,0.9560336309662354,0.07481535046982031,53.46938775510204,10
Leve Premio (0.5 a 1.5),201,0.3040775531907897,0.866554945523812,0.08440309495121166,52.60663507109005,10
Caro (1.5 a 2.5),77,-0.6817659658363643,-1.8315022776203893,0.09148439625658251,40.25974025974026,10
Muito Caro (>2.5),50,6.840951701291563,5.581484008375137,0.10680657119093451,74.0,10
Muito Barato (<-2.5),7,3.598138942847099,-0.04431911193127913,0.16841032363213346,42.857142857142854,20
Barato (-2.5 a -1.5),55,0.7513373339631892,-2.5449020635904596,0.11704013736749212,41.81818181818181,20
Leve Desc (-1.5 a -0.5),279,2.1209231367010615,1.9417468592523468,0.10793160833447842,55.19713261648745,20
Neutro,242,1.5744514541437393,0.5541333578005347,0.1006595606454035,51.83673469387755,20
Leve Premio (0.5 a 1.5),194,0.3113563950801354,0.8380382612343529,0.12921534123591602,48.34123222748815,20
Caro (1.5 a 2.5),77,3.831373010756203,-2.395233040373268,0.17235249798507632,37.66233766233766,20
Muito Caro (>2.5),50,6.733185720061599,4.6568856563424905,0.14465704316460645,62.0,20
Muito Barato (<-2.5),7,0.5792680147606144,-8.482124543460245,0.17094207254334687,42.857142857142854,40
Barato (-2.5 a -1.5),55,-3.6468231515402643,-1.568307690698767,0.09805609650328014,43.63636363636363,40
Leve Desc (-1.5 a -0.5),279,4.839750574460205,3.320319728526444,0.16352056151029323,59.13978494623656,40
Neutro,242,6.11793921319207,4.527631288498024,0.14283925527088398,66.12244897959184,40
Leve Premio (0.5 a 1.5),184,1.8897011521116829,-4.517660656867689,0.2034048630066991,36.492890995260666,40
Caro (1.5 a 2.5),67,8.897898727295026,-6.976764284885251,0.2901205464183351,38.961038961038966,40
Muito Caro (>2.5),50,4.54285206376187,-3.1485003886050524,0.21470600317268831,36.0,40
