z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),15,0.9775701637847075,1.0067104428777007,0.033500334230850054,73.33333333333333,5
Barato (-2.5 a -1.5),157,-0.5105667589327333,-0.7638885080103353,0.062133733953244785,43.31210191082803,5
Leve Desc (-1.5 a -0.5),376,-0.16754977546022506,-0.499119644937962,0.05276337678525631,43.832020997375324,5
Neutro,174,-0.6524456745781076,-1.4203579449533543,0.05976680895010485,45.40229885057471,5
Leve Premio (0.5 a 1.5),129,-1.957327748413863,-1.538466146946782,0.04932356435758104,34.10852713178294,5
Caro (1.5 a 2.5),54,-0.24523423183283374,0.5973309823080308,0.043809434042732145,51.85185185185185,5
Muito Caro (>2.5),14,0.4222467198669667,0.15290494434788693,0.021645551917206077,57.14285714285714,5
Muito Barato (<-2.5),15,3.5003158045478893,0.6884675085537362,0.1263110011854806,53.333333333333336,10
Barato (-2.5 a -1.5),157,-1.2438934751956543,-2.470578588380845,0.09572716022306518,39.490445859872615,10
Leve Desc (-1.5 a -0.5),373,-0.16008545045805572,-1.0227189705951156,0.06905557557206715,42.78215223097113,10
Neutro,172,-1.592244466977397,-3.8184311527667045,0.0821009030299444,33.33333333333333,10
Leve Premio (0.5 a 1.5),129,-3.574883631807319,-2.8588124404565263,0.07041673584407611,30.23255813953488,10
Caro (1.5 a 2.5),54,-0.15743205265369944,0.7878388646535561,0.060925450600029574,55.55555555555556,10
Muito Caro (>2.5),14,-0.7746469154802061,-0.20203784617981446,0.04166254446405667,42.857142857142854,10
Muito Barato (<-2.5),15,4.508663191656337,-5.923339534985727,0.22081325090162415,33.33333333333333,20
Barato (-2.5 a -1.5),157,-0.18382272615271192,-3.561829642406511,0.13588570904890404,42.675159235668794,20
Leve Desc (-1.5 a -0.5),363,-2.0799027659486096,-2.8037430379547534,0.08097971132403031,34.645669291338585,20
Neutro,172,-1.826649196215015,-3.7100290004172756,0.10111929953389469,40.804597701149426,20
Leve Premio (0.5 a 1.5),129,-5.522504538427705,-7.040865766766869,0.10010117558368682,31.782945736434108,20
Caro (1.5 a 2.5),54,-1.1059650494735205,-4.10261849537768,0.10227309549784577,44.44444444444444,20
Muito Caro (>2.5),14,-4.447806898545357,-4.234903638782011,0.07950545102378964,28.57142857142857,20
Muito Barato (<-2.5),15,10.611497335324044,9.122206799107024,0.1774788128815338,73.33333333333333,40
Barato (-2.5 a -1.5),157,-4.168075877149743,-2.271213904000513,0.13445020333817254,44.5859872611465,40
Leve Desc (-1.5 a -0.5),344,-3.6436306172927604,-3.418471204465612,0.12036648264938783,33.85826771653544,40
Neutro,171,-2.719460796235975,-7.515340842459828,0.14076039325521006,33.90804597701149,40
Leve Premio (0.5 a 1.5),129,-8.129345840267009,-10.968816165097728,0.13962942042497437,30.23255813953488,40
Caro (1.5 a 2.5),54,-5.913584259125207,-6.519603349001512,0.11997273317774791,29.629629629629626,40
Muito Caro (>2.5),14,-6.730957351544335,-8.71944344419603,0.07569932719078411,14.285714285714285,40
