z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),4,6.477254425913112,7.385524393038068,0.10018681173382955,75.0,5
Barato (-2.5 a -1.5),147,0.4927310587677417,0.24584852277302893,0.05510266552486472,50.34013605442177,5
Leve Desc (-1.5 a -0.5),461,-0.5348164348846319,-0.7060939363032648,0.0632311012375445,44.46854663774403,5
Neutro,169,1.006914680380109,1.0563285689916269,0.06807784620912857,54.437869822485204,5
Leve Premio (0.5 a 1.5),82,-1.936777720770257,-2.046196451052684,0.07277688625091382,37.34939759036144,5
Caro (1.5 a 2.5),32,-1.2781599567465238,-0.7466825773108976,0.06608611557085094,41.66666666666667,5
Muito Caro (>2.5),24,2.79673123789077,2.3680822848218486,0.036755738436318804,66.66666666666666,5
Muito Barato (<-2.5),4,8.052112520324373,11.078286589557095,0.09171832828144681,75.0,10
Barato (-2.5 a -1.5),147,0.8785089183839297,0.28149621209165865,0.07695371977978707,51.70068027210885,10
Leve Desc (-1.5 a -0.5),461,-0.6049965103456221,-0.9860356256922387,0.08560679860517871,44.03470715835141,10
Neutro,167,1.7793444965691956,0.8097183281302378,0.10790363950085496,52.662721893491124,10
Leve Premio (0.5 a 1.5),79,-4.447014340985502,-4.538090922425275,0.10082879259113511,22.89156626506024,10
Caro (1.5 a 2.5),32,-3.366521949653973,-2.5430318791973603,0.1083038455892871,38.88888888888889,10
Muito Caro (>2.5),24,2.8542465522410696,4.901676326960613,0.08607462084162974,62.5,10
Muito Barato (<-2.5),4,15.105798126656678,17.725255725937384,0.12462125124232042,75.0,20
Barato (-2.5 a -1.5),147,3.0830400708413133,1.1403517482531544,0.1307718195350863,55.10204081632652,20
Leve Desc (-1.5 a -0.5),458,-1.28720031866983,-1.7575201684231934,0.11625029075440729,39.26247288503254,20
Neutro,160,1.228394724982374,0.7434638741509958,0.1518493602384323,48.5207100591716,20
Leve Premio (0.5 a 1.5),79,-6.015396287978428,-6.189668054441466,0.133202375498997,27.710843373493976,20
Caro (1.5 a 2.5),32,-0.404515019867862,-4.1476436281939755,0.14672798870344067,30.555555555555557,20
Muito Caro (>2.5),24,-1.2334245559148032,-6.510333436640137,0.09367256669775925,41.66666666666667,20
Muito Barato (<-2.5),4,12.751772456282644,19.48479667417481,0.18090881118559557,75.0,40
Barato (-2.5 a -1.5),147,2.342356691607877,-3.3547453393051208,0.20784311788191495,38.095238095238095,40
Leve Desc (-1.5 a -0.5),458,-1.07234697702192,-4.824622556346614,0.17961427201942906,32.97180043383948,40
Neutro,147,3.0381964305631994,-2.658954362768029,0.20087801942236885,39.64497041420118,40
Leve Premio (0.5 a 1.5),72,-13.40518949436134,-15.65540320900553,0.13819989402143043,12.048192771084338,40
Caro (1.5 a 2.5),32,-1.5948994754490582,-1.7658338383432282,0.12109510038045902,38.88888888888889,40
Muito Caro (>2.5),24,-1.1854038736994505,1.699387898617044,0.07097543923236108,54.166666666666664,40
