z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),19,3.641696910450882,0.0,0.17300713637403123,47.368421052631575,5
Barato (-2.5 a -1.5),100,1.5770644195479893,0.6328155447635764,0.11654611273312683,53.0,5
Leve Desc (-1.5 a -0.5),422,-1.0510498385303695,-2.1333464692629702,0.09333364489883582,40.99526066350711,5
Neutro,174,-1.1409791118632366,-1.7586154812870791,0.08937140261234416,40.22346368715084,5
Leve Premio (0.5 a 1.5),145,0.3648943445975882,1.351350045186761,0.07070456994806752,60.689655172413794,5
Caro (1.5 a 2.5),57,-3.1489144291710263,-3.9999961853027344,0.08297009571191541,29.82456140350877,5
Muito Caro (>2.5),2,-7.161303470366004,-7.161303470366004,0.026185210603356372,0.0,5
Muito Barato (<-2.5),19,-2.038889852950612,1.5151500555948827,0.16622027342504572,52.63157894736842,10
Barato (-2.5 a -1.5),100,0.1099670548412013,0.0,0.1246561398656081,49.0,10
Leve Desc (-1.5 a -0.5),420,-0.8924435737669982,-1.5854910299224867,0.12846931655460614,43.838862559241704,10
Neutro,171,-1.9480881764604128,-1.6447352942006832,0.1301677916439685,44.134078212290504,10
Leve Premio (0.5 a 1.5),145,-1.3169520964473949,0.9202445238506662,0.104078752287445,52.41379310344828,10
Caro (1.5 a 2.5),57,-4.410593557103066,-4.016060411629196,0.08404987404237632,28.07017543859649,10
Muito Caro (>2.5),2,-9.400277512575228,-9.400277512575228,0.02975713072955636,0.0,10
Muito Barato (<-2.5),19,-0.5444659173181359,0.0,0.12930174127364769,47.368421052631575,20
Barato (-2.5 a -1.5),100,-2.332096550579068,-1.7078055283728633,0.1443914861525793,45.0,20
Leve Desc (-1.5 a -0.5),412,-0.5570632754322907,-2.4593907745198154,0.16443134465602371,44.07582938388626,20
Neutro,169,-4.626724736789976,-6.191951904108195,0.19379758482245946,39.10614525139665,20
Leve Premio (0.5 a 1.5),145,-5.9666137928649965,-3.4782576245485752,0.1459119021796136,39.310344827586206,20
Caro (1.5 a 2.5),57,-5.077012303917307,-4.597696949511809,0.1444484835501592,31.57894736842105,20
Muito Caro (>2.5),2,1.5686110488070393,1.5686110488070393,0.04039225173793383,50.0,20
Muito Barato (<-2.5),19,-8.045694254733048,-5.226499568200271,0.12704295966252668,31.57894736842105,40
Barato (-2.5 a -1.5),99,-3.7361168091368913,-6.185569121927337,0.23800832274488085,37.0,40
Leve Desc (-1.5 a -0.5),395,-2.166899097484465,-3.379704848401499,0.22630644323463378,41.943127962085306,40
Neutro,167,-11.046179173625264,-15.96244762067226,0.20347160326192698,24.581005586592177,40
Leve Premio (0.5 a 1.5),145,-8.287342073561659,-12.820511253000733,0.1948649731888934,38.62068965517241,40
Caro (1.5 a 2.5),57,-7.210173659779315,-5.668020375811378,0.1765678069917318,38.59649122807017,40
Muito Caro (>2.5),2,-2.1592140724224773,-2.1592140724224773,0.018020745866657993,0.0,40
