z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),7,-1.2504781747112352,-2.0651237084981844,0.07166523847749902,14.285714285714285,5
Barato (-2.5 a -1.5),84,0.28251698387170315,0.1370980311795056,0.04030953932855275,51.19047619047619,5
Leve Desc (-1.5 a -0.5),132,1.0079922081274755,0.7766986239133966,0.05730573283179784,56.81818181818182,5
Neutro,144,0.39911418109886315,0.5428623647994457,0.05369188053364469,53.47222222222222,5
Leve Premio (0.5 a 1.5),295,0.4798573552451872,0.9496408052766192,0.05622564808544919,55.59322033898305,5
Caro (1.5 a 2.5),215,1.094697111331511,1.0547147509794907,0.04674134821148909,57.27272727272727,5
Muito Caro (>2.5),42,0.7690894168327358,0.9529374685004033,0.04061320170174362,57.14285714285714,5
Muito Barato (<-2.5),7,-2.2778826632602205,-3.8125524771825625,0.07661248946708209,14.285714285714285,10
Barato (-2.5 a -1.5),84,0.3040487449352864,-0.4237931769857317,0.05825039089885827,48.80952380952381,10
Leve Desc (-1.5 a -0.5),132,2.438916831430792,1.0916047460827083,0.07870591200596783,57.57575757575758,10
Neutro,144,-0.0010773575048741836,0.022202558978134945,0.07910722632697513,50.0,10
Leve Premio (0.5 a 1.5),295,1.1484327505236804,1.644466309393966,0.07617999628029759,58.30508474576271,10
Caro (1.5 a 2.5),213,2.19102615338559,1.7373320953364413,0.07403003114174292,56.81818181818182,10
Muito Caro (>2.5),39,3.2652668425912363,1.9858236437622745,0.05503129383730158,69.04761904761905,10
Muito Barato (<-2.5),7,3.0161607497877823,-0.1588613742167011,0.10340428508403612,42.857142857142854,20
Barato (-2.5 a -1.5),84,1.325122004782892,1.0608416837371903,0.08014140133790026,59.523809523809526,20
Leve Desc (-1.5 a -0.5),132,4.361156637039733,4.772900968697302,0.108706082166401,59.84848484848485,20
Neutro,144,0.7353103156573202,0.8325743709215461,0.11572012323630113,53.47222222222222,20
Leve Premio (0.5 a 1.5),295,2.9112456308969006,3.4032404290283758,0.11575310607774097,64.0677966101695,20
Caro (1.5 a 2.5),203,3.666951664016907,3.9661732896527413,0.11443781358995055,56.36363636363636,20
Muito Caro (>2.5),39,4.087914667844315,3.7006264284523027,0.0835228109241011,66.66666666666666,20
Muito Barato (<-2.5),7,13.748868772977172,18.58618753280259,0.10397803046970994,85.71428571428571,40
Barato (-2.5 a -1.5),84,9.285098009807797,11.062879205638886,0.14485006321788826,70.23809523809523,40
Leve Desc (-1.5 a -0.5),132,10.26111454801821,9.05327257227423,0.1679040175418011,74.24242424242425,40
Neutro,144,2.194009970382843,0.255682551587022,0.18063022754270525,52.083333333333336,40
Leve Premio (0.5 a 1.5),290,5.44750669012866,6.0806754842089745,0.1467972826213693,65.76271186440678,40
Caro (1.5 a 2.5),189,3.575433925097916,7.050096982272547,0.17640126996123995,53.18181818181819,40
Muito Caro (>2.5),38,8.025155571556876,20.871584124657804,0.1978297270980272,50.0,40
