z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),10,-0.8863791656732878,-1.6411990704099932,0.023838340812010302,40.0,5
Barato (-2.5 a -1.5),101,0.037567600514651384,0.0,0.031804788660030794,49.504950495049506,5
Leve Desc (-1.5 a -0.5),219,0.5045987945394468,0.43240889554487794,0.030141256361144723,54.337899543378995,5
Neutro,232,0.3929652206021728,0.4869041146283837,0.03156820465612411,58.29787234042553,5
Leve Premio (0.5 a 1.5),189,-0.4883066409773232,-0.45764573852415946,0.03779605929164694,42.93193717277487,5
Caro (1.5 a 2.5),136,0.13103720427373325,-0.36487610006994964,0.03487083129434829,45.588235294117645,5
Muito Caro (>2.5),32,-0.31230547344792275,0.43025239178934305,0.03136953376978979,56.25,5
Muito Barato (<-2.5),10,-2.2096014096219494,-1.7761384473145236,0.036665775832012255,40.0,10
Barato (-2.5 a -1.5),101,-0.05655312921911264,-0.568175205572341,0.044504503238102566,40.5940594059406,10
Leve Desc (-1.5 a -0.5),218,1.0940173028899798,1.0925595074552708,0.04282473971853751,59.3607305936073,10
Neutro,228,0.6253470182965112,0.814296284945315,0.04446453874439818,54.46808510638298,10
Leve Premio (0.5 a 1.5),189,-0.09375926034819353,-0.6025834170815147,0.056746618958351494,45.0261780104712,10
Caro (1.5 a 2.5),136,-0.3958726684999663,-0.4840603442284763,0.050386515681835005,42.64705882352941,10
Muito Caro (>2.5),32,-1.6973654390432877,-0.7856911759020424,0.04431177343316583,43.75,10
Muito Barato (<-2.5),10,-3.157375214192905,-4.475668323126403,0.040355030858631645,30.0,20
Barato (-2.5 a -1.5),101,1.7060308994871443,0.7551222811285729,0.07451505478790761,54.45544554455446,20
Leve Desc (-1.5 a -0.5),209,1.7996307961116138,1.1924005988150244,0.062088596946541626,57.99086757990868,20
Neutro,227,0.9461284403498825,0.1091494319954478,0.06945392585801793,48.51063829787234,20
Leve Premio (0.5 a 1.5),189,-0.5205261737804009,-1.4177674136878093,0.06411326304641769,41.361256544502616,20
Caro (1.5 a 2.5),136,-0.8792555201537701,-1.285436854702432,0.05730408370540111,42.64705882352941,20
Muito Caro (>2.5),32,-2.4997004604801,-3.601288523357482,0.05381902924484705,25.0,20
Muito Barato (<-2.5),10,1.772668410399315,-3.1775846404806742,0.08604868719242642,40.0,40
Barato (-2.5 a -1.5),101,2.774336902753502,1.2866632154973079,0.10582152398710021,57.42574257425742,40
Leve Desc (-1.5 a -0.5),196,2.637929050266972,-0.3927556537038246,0.10162340948986605,42.465753424657535,40
Neutro,220,2.0714218447697696,0.9670716374035604,0.07940759158721905,52.34042553191489,40
Leve Premio (0.5 a 1.5),189,-1.201003697847916,-1.2025898367418297,0.06339255362933462,42.93193717277487,40
Caro (1.5 a 2.5),136,-1.39360965098559,-0.3977263918008178,0.06625761045974625,47.05882352941176,40
Muito Caro (>2.5),32,-3.449248182498246,-2.4843089825143494,0.050257709783813026,28.125,40
