z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),35,-1.997123439928099,-5.673759340708617,0.11903415814492997,34.285714285714285,5
Barato (-2.5 a -1.5),107,-0.8014483408184926,-2.5553645870813435,0.10773388916878633,38.31775700934579,5
Leve Desc (-1.5 a -0.5),354,-0.9887937294460651,-1.8533420124267952,0.09363426262450311,38.70056497175141,5
Neutro,187,1.6005066538470207,-0.26881826685795085,0.1049263117358711,48.663101604278076,5
Leve Premio (0.5 a 1.5),168,-1.5350192964252405,-1.856276613440272,0.09157269527833645,40.46242774566474,5
Caro (1.5 a 2.5),59,0.46116993627385927,-0.0985072636283002,0.13257852519828983,47.45762711864407,5
Muito Caro (>2.5),9,4.364052671481685,2.9957154416469622,0.08112331348426415,88.88888888888889,5
Muito Barato (<-2.5),35,-2.1656659909105263,-7.142858604302416,0.1884234123840653,31.428571428571427,10
Barato (-2.5 a -1.5),107,-2.8820094242587726,-6.075942016222468,0.16563035551431535,38.31775700934579,10
Leve Desc (-1.5 a -0.5),354,-1.2909845072145507,-2.8443490112229797,0.14596073885626096,40.67796610169492,10
Neutro,187,2.428265452401379,0.5128235096400591,0.15293252063838805,50.80213903743316,10
Leve Premio (0.5 a 1.5),165,-2.14228290268365,-3.116532031077268,0.12119372422038525,40.46242774566474,10
Caro (1.5 a 2.5),57,0.38918114251723473,-6.451623125520944,0.18839417307382456,32.20338983050847,10
Muito Caro (>2.5),9,8.0762105289072,4.187440665248521,0.12626536987206596,77.77777777777779,10
Muito Barato (<-2.5),35,1.5399008299049002,-2.234628447143727,0.26733473383598055,42.857142857142854,20
Barato (-2.5 a -1.5),107,-3.174855390879758,-7.746480227513953,0.22709205591457238,42.05607476635514,20
Leve Desc (-1.5 a -0.5),354,-1.574159878778803,-5.0185271590552585,0.24096178979574126,37.85310734463277,20
Neutro,185,2.0190186286520273,-1.652887683911053,0.1992739514313422,46.524064171122994,20
Leve Premio (0.5 a 1.5),157,-3.7078820088338813,-4.322193112098227,0.17274400596863385,26.589595375722542,20
Caro (1.5 a 2.5),57,-1.2818206433618724,-5.415141141319602,0.2114815850415126,38.983050847457626,20
Muito Caro (>2.5),9,7.044770319775459,0.5502041341385766,0.18313084151312028,55.55555555555556,20
Muito Barato (<-2.5),35,6.328350656931682,0.930236284432362,0.2962332310027868,54.285714285714285,40
Barato (-2.5 a -1.5),107,-8.598793097529997,-11.478872942252917,0.2949629905736815,37.38317757009346,40
Leve Desc (-1.5 a -0.5),353,1.0214782880547073,-7.575749038236124,0.3308464547881946,40.3954802259887,40
Neutro,167,-0.8349426912370564,-5.997522731465588,0.24731293884455002,37.967914438502675,40
Leve Premio (0.5 a 1.5),156,-10.221849754279342,-15.527412693147086,0.23427958233064317,19.653179190751445,40
Caro (1.5 a 2.5),57,-4.22953325595745,-9.11622148563307,0.24364434053735384,37.28813559322034,40
Muito Caro (>2.5),9,15.382603183519993,0.4406821925667659,0.21844116831308624,66.66666666666666,40
