z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),17,1.1137283830368783,1.4893654149386482,0.054811935186830564,58.82352941176471,5
Barato (-2.5 a -1.5),97,0.4112200992693092,-0.5201555468841601,0.07449093153365881,44.329896907216494,5
Leve Desc (-1.5 a -0.5),217,-0.13974926320460457,-0.6968579365256078,0.07621041275475426,44.70046082949309,5
Neutro,230,0.6074871644792726,-0.5241744173268059,0.07443112000946434,46.08695652173913,5
Leve Premio (0.5 a 1.5),149,-1.0037299628013787,-0.3273319229047167,0.08017419428522196,46.97986577181208,5
Caro (1.5 a 2.5),137,-0.0032003478247998214,0.0,0.07059313712876725,47.88732394366197,5
Muito Caro (>2.5),72,1.3101599125827263,1.830103879173428,0.06744346840386901,69.44444444444444,5
Muito Barato (<-2.5),17,1.8406537332062152,2.929689428128812,0.0979448405784116,58.82352941176471,10
Barato (-2.5 a -1.5),97,2.316631674711546,-0.3898643966333881,0.11765460485487572,48.45360824742268,10
Leve Desc (-1.5 a -0.5),217,-0.5940670888093846,-1.886787229650111,0.10648876599016634,40.55299539170507,10
Neutro,230,1.2924191807566021,-0.3272536671425963,0.10657021620777597,48.26086956521739,10
Leve Premio (0.5 a 1.5),149,-1.3771397413241144,-1.3864804847574463,0.11679201417347147,43.624161073825505,10
Caro (1.5 a 2.5),135,-1.0966756496169816,-2.7581353172096756,0.10952599771995201,39.436619718309856,10
Muito Caro (>2.5),69,3.491734811791868,3.087248657207331,0.09534937547190972,56.94444444444444,10
Muito Barato (<-2.5),17,2.560139367461555,3.8775521127048407,0.11585676071950282,70.58823529411765,20
Barato (-2.5 a -1.5),97,2.7686506698915934,2.434450072829275,0.11331403627216122,58.76288659793815,20
Leve Desc (-1.5 a -0.5),217,-1.790868088990376,-3.1339001536950795,0.12474556888162086,41.013824884792626,20
Neutro,230,2.0464556804141996,0.6351530396230376,0.15190051044095815,51.30434782608696,20
Leve Premio (0.5 a 1.5),149,0.46861508452753203,0.9831484941924318,0.18432220097284432,51.006711409395976,20
Caro (1.5 a 2.5),132,-2.23673918239495,-4.646453322740801,0.14937080056842397,35.2112676056338,20
Muito Caro (>2.5),62,7.41357136835014,8.214444261935904,0.1559297863923042,59.72222222222222,20
Muito Barato (<-2.5),17,5.57389601683232,9.14512012172144,0.1748766272952065,76.47058823529412,40
Barato (-2.5 a -1.5),97,6.53567302750397,5.451711845377605,0.1941546775109496,63.91752577319587,40
Leve Desc (-1.5 a -0.5),217,-0.23566341372539315,-2.2613043652764286,0.1898486147430234,43.77880184331797,40
Neutro,230,0.6781600963228763,-4.330613408548578,0.2376773760230565,39.130434782608695,40
Leve Premio (0.5 a 1.5),142,2.36768763754612,-3.184110215115493,0.2629224644473254,46.308724832214764,40
Caro (1.5 a 2.5),121,-5.781576001990005,-8.678652540953003,0.1985527345317167,32.3943661971831,40
Muito Caro (>2.5),60,13.34695936867916,9.003110851376428,0.23786877317653368,48.61111111111111,40
