z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),7,3.9227670665745555,4.948306718572337,0.02808872794505461,85.71428571428571,5
Barato (-2.5 a -1.5),109,0.8210346403533119,0.37641538675670105,0.03910543463216011,53.21100917431193,5
Leve Desc (-1.5 a -0.5),164,0.9817986576941048,0.6338985875620762,0.056130365777951434,53.65853658536586,5
Neutro,244,0.10041305258573077,-0.18330237086199297,0.05129299275693169,47.389558232931726,5
Leve Premio (0.5 a 1.5),199,0.39146870528498623,0.18872807786409762,0.05153052492117162,51.256281407035175,5
Caro (1.5 a 2.5),156,-0.24056141061328395,0.20994220391669094,0.04102478036422477,50.641025641025635,5
Muito Caro (>2.5),40,0.6041928183693057,0.18760043584468145,0.04960372073630392,52.5,5
Muito Barato (<-2.5),7,1.562903034714596,0.40838967532905723,0.046030457867431554,57.14285714285714,10
Barato (-2.5 a -1.5),109,2.027118861865029,1.0886811988549239,0.05750941098026273,60.550458715596335,10
Leve Desc (-1.5 a -0.5),164,1.8903106450554807,2.0630546595935884,0.0682683577899444,60.36585365853659,10
Neutro,239,-0.07506500830294546,0.25188532040141265,0.07091761664054053,48.99598393574297,10
Leve Premio (0.5 a 1.5),199,0.35026711703027724,0.6947406969572301,0.07635353597385461,53.266331658291456,10
Caro (1.5 a 2.5),156,0.14115174480359,-0.5696488182988069,0.05176440627118428,46.15384615384615,10
Muito Caro (>2.5),40,1.8690246773513899,2.356826923769806,0.0704444953380992,55.00000000000001,10
Muito Barato (<-2.5),7,6.201727270982083,10.590796183308626,0.06801364175183659,85.71428571428571,20
Barato (-2.5 a -1.5),109,4.836484184383021,3.7812132733323622,0.07743545896970212,73.39449541284404,20
Leve Desc (-1.5 a -0.5),163,2.6129737076363675,3.607542195461999,0.08420459680937274,68.90243902439023,20
Neutro,230,0.4546077878436887,0.14524915133325988,0.0983508837003921,46.98795180722892,20
Leve Premio (0.5 a 1.5),199,-0.23058423251781768,-0.4894986850313088,0.11048815894117066,46.733668341708544,20
Caro (1.5 a 2.5),156,1.315304799033704,1.0335339365658447,0.09557350745480526,55.769230769230774,20
Muito Caro (>2.5),40,0.79163154357661,0.27177296099603065,0.061915828776006064,55.00000000000001,20
Muito Barato (<-2.5),7,-0.4073496418328866,-5.036750604893847,0.12754531173984654,28.57142857142857,40
Barato (-2.5 a -1.5),109,7.592653606619431,7.351817066106836,0.12282681458047048,70.64220183486239,40
Leve Desc (-1.5 a -0.5),151,4.0490921774425725,1.818719193271412,0.11782852406807207,50.0,40
Neutro,223,4.801521261701917,0.3055740526762385,0.13532756688522526,44.97991967871486,40
Leve Premio (0.5 a 1.5),198,-1.3056339853114811,-5.941488899759994,0.15084464783724486,31.65829145728643,40
Caro (1.5 a 2.5),156,-0.060254428778027724,-1.5535391836880907,0.12887107783225346,47.43589743589743,40
Muito Caro (>2.5),40,1.9866134599107403,2.466702606584492,0.06333547819998867,65.0,40
