z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),8,-0.24156333124868978,-0.0001614540450889379,0.01437513609553073,50.0,5
Barato (-2.5 a -1.5),116,0.999957059102647,0.6982038510297217,0.033006250808799466,60.3448275862069,5
Leve Desc (-1.5 a -0.5),287,0.6244276848023067,0.11540902219211446,0.036410237843690095,50.69444444444444,5
Neutro,236,-0.7932680264264294,-0.6891147815156928,0.03600906667948024,40.0,5
Leve Premio (0.5 a 1.5),187,-0.07855612957531985,-0.10460638057283589,0.03442839435475881,47.593582887700535,5
Caro (1.5 a 2.5),75,-0.6712262410316477,-0.4987597804161359,0.03511732224771291,42.66666666666667,5
Muito Caro (>2.5),10,0.23238298903515256,0.07897247508939498,0.035107677651296784,50.0,5
Muito Barato (<-2.5),8,1.8795552888129925,0.7638510870034976,0.030178807246699888,75.0,10
Barato (-2.5 a -1.5),116,1.4408804189445072,1.2146788108368112,0.04908953838954868,63.793103448275865,10
Leve Desc (-1.5 a -0.5),282,1.2481455308546465,0.16624751947530436,0.04500597860124244,51.388888888888886,10
Neutro,236,-1.4791440796279054,-1.7529384726943875,0.04865371093956517,35.0,10
Leve Premio (0.5 a 1.5),187,0.06903303304763586,-0.10335125131187839,0.046763830783487476,47.593582887700535,10
Caro (1.5 a 2.5),75,-2.348253299777722,-2.2954262549450766,0.05263385445886138,29.333333333333332,10
Muito Caro (>2.5),10,1.5802675061058247,-1.1117739419688077,0.07046633491956107,30.0,10
Muito Barato (<-2.5),8,5.791640126290676,4.034167983134118,0.039901195403204456,100.0,20
Barato (-2.5 a -1.5),112,2.0465711088567184,1.6342571559581298,0.05512581256756522,62.06896551724138,20
Leve Desc (-1.5 a -0.5),276,2.184188990042001,1.9161691746353626,0.06134382096275135,57.986111111111114,20
Neutro,236,-2.2155983338018883,-3.35570650353843,0.06893353039822936,31.25,20
Leve Premio (0.5 a 1.5),187,-1.3178991150633361,-1.5752285578477854,0.06144567745381346,40.64171122994652,20
Caro (1.5 a 2.5),75,-3.0601679741988335,-3.8723294956568566,0.07009217772180641,33.33333333333333,20
Muito Caro (>2.5),10,3.081490610445392,2.9370352992917237,0.0746822008204371,60.0,20
Muito Barato (<-2.5),8,6.456632124218278,6.617097273190686,0.018103471880425305,100.0,40
Barato (-2.5 a -1.5),99,6.2762586537132,5.698642020162481,0.08205513541518289,65.51724137931035,40
Leve Desc (-1.5 a -0.5),269,2.123756030977894,1.5821927989884355,0.08096289805816932,58.333333333333336,40
Neutro,236,-2.646831046495122,-3.486666346581868,0.06898722827094177,30.833333333333336,40
Leve Premio (0.5 a 1.5),187,-3.61548913516537,-3.015604320619669,0.07892495436847678,33.68983957219251,40
Caro (1.5 a 2.5),75,-6.221731897382546,-6.805869075699411,0.07990458835458415,25.333333333333336,40
Muito Caro (>2.5),10,2.3627634411077123,5.636298318457689,0.07819417550563723,60.0,40
