z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),15,0.8427292432927761,1.017025415907269,0.02199980903774301,66.66666666666666,5
Barato (-2.5 a -1.5),74,-0.20067988239069837,-0.5386728602935598,0.02297033813839906,43.24324324324324,5
Leve Desc (-1.5 a -0.5),143,0.6413497006487529,0.5164981112769196,0.020718235260620638,60.83916083916085,5
Neutro,245,0.06300161393251506,0.1440269004387762,0.016807824977352344,51.42857142857142,5
Leve Premio (0.5 a 1.5),227,-0.017029429802720066,-0.03784284780857794,0.021729859580581344,49.33920704845815,5
Caro (1.5 a 2.5),176,0.25802318967692806,0.24852623847998467,0.02068089431331791,52.48618784530387,5
Muito Caro (>2.5),39,0.9822851869776751,-0.5567861262163132,0.04744290242378361,43.58974358974359,5
Muito Barato (<-2.5),15,0.11486147905841977,0.3220102779202483,0.0273851512363822,53.333333333333336,10
Barato (-2.5 a -1.5),74,0.016012409363724084,0.23000032109726787,0.029745340861318557,52.702702702702695,10
Leve Desc (-1.5 a -0.5),143,1.030445139554633,1.3275387400740746,0.030558895371201784,65.03496503496503,10
Neutro,245,0.20586050485611587,0.05808125882227344,0.025780240144346978,51.42857142857142,10
Leve Premio (0.5 a 1.5),227,-0.020957033548354754,0.0,0.027529342955133394,48.89867841409692,10
Caro (1.5 a 2.5),171,0.7053224772133081,0.27495440457288023,0.03723352500051772,51.93370165745856,10
Muito Caro (>2.5),39,1.3776929140117027,0.12952641642600682,0.05977692681808895,51.28205128205128,10
Muito Barato (<-2.5),15,1.950614898165186,0.671489961746885,0.058285182232357166,53.333333333333336,20
Barato (-2.5 a -1.5),74,1.2129328479387476,1.341345300142227,0.04848937712332285,56.75675675675676,20
Leve Desc (-1.5 a -0.5),143,2.145829567051918,2.288127528820616,0.04961571325742193,65.03496503496503,20
Neutro,245,0.1262650354846835,-0.14585047031200338,0.03766222158183711,47.3469387755102,20
Leve Premio (0.5 a 1.5),227,-0.15031199689232666,-0.2931730870924132,0.03656716021958053,46.69603524229075,20
Caro (1.5 a 2.5),168,1.8787496948995681,1.111669253481784,0.06668318819549587,54.14364640883977,20
Muito Caro (>2.5),32,1.2682022008046505,0.07290750600186802,0.05079838178211769,41.02564102564102,20
Muito Barato (<-2.5),15,5.53823509866348,7.663208341620753,0.0643121785918502,60.0,40
Barato (-2.5 a -1.5),74,3.801609615507356,4.493851986758424,0.04421315822494308,81.08108108108108,40
Leve Desc (-1.5 a -0.5),143,2.9894857867165143,3.310270416447336,0.06291038241839465,69.23076923076923,40
Neutro,245,1.2896211938475395,1.1777828683376068,0.05886149542253045,56.326530612244895,40
Leve Premio (0.5 a 1.5),227,-0.2881885736530382,-1.4644280961974676,0.04770147150771058,38.32599118942731,40
Caro (1.5 a 2.5),159,2.379814729639149,-1.8563443007698077,0.09252821862314786,37.569060773480665,40
Muito Caro (>2.5),21,-0.790926600224188,-1.981719628860179,0.05164934667923879,15.384615384615385,40
