z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),9,-5.097317302192715,-4.4957971811950825,0.05954801002487945,22.22222222222222,5
Barato (-2.5 a -1.5),152,0.15925035787781294,-2.4892649739673036,0.18117573067560047,40.131578947368425,5
Leve Desc (-1.5 a -0.5),374,-1.3560895656922998,-2.6763351837893135,0.13487081879792798,35.09234828496042,5
Neutro,216,-0.608541651374949,-1.3391281255571819,0.09418411701224773,44.44444444444444,5
Leve Premio (0.5 a 1.5),121,-2.761207205442111,-2.884616629404324,0.07605016272780073,34.710743801652896,5
Caro (1.5 a 2.5),31,1.3000671662602412,0.9073477643898098,0.11716078104722619,51.61290322580645,5
Muito Caro (>2.5),16,3.871080174683551,2.9878945473676644,0.05483980790511321,75.0,5
Muito Barato (<-2.5),9,-9.531873242265005,-6.173993202237749,0.08208193764023837,11.11111111111111,10
Barato (-2.5 a -1.5),152,1.1254332267479494,-0.5435819223281957,0.24583747133718176,48.68421052631579,10
Leve Desc (-1.5 a -0.5),369,-2.0908998908757748,-5.237318570684158,0.22136095302522563,30.07915567282322,10
Neutro,216,-2.052413575706382,-3.578418296975933,0.1271125019571677,37.03703703703704,10
Leve Premio (0.5 a 1.5),121,-5.107278812380728,-7.318951022870845,0.1091640938693432,24.793388429752067,10
Caro (1.5 a 2.5),31,2.1056324510794586,-4.244304905677065,0.188881062042168,41.935483870967744,10
Muito Caro (>2.5),16,5.879065486168939,7.308877714649364,0.09163690174545229,68.75,10
Muito Barato (<-2.5),9,1.3783368124296418,-7.48476652574862,0.22202922950761064,44.44444444444444,20
Barato (-2.5 a -1.5),152,-2.081299272478883,-2.58227910864679,0.3031550112172862,42.76315789473684,20
Leve Desc (-1.5 a -0.5),359,-2.73258879865692,-10.434780950131628,0.3311052751554198,26.649076517150394,20
Neutro,216,-3.406783996612995,-6.713580425286569,0.20146859828168778,30.555555555555557,20
Leve Premio (0.5 a 1.5),121,-8.957782755440299,-12.96625020439912,0.19460553857588883,12.396694214876034,20
Caro (1.5 a 2.5),31,6.509566751321849,-9.04693194161169,0.2514988955352436,45.16129032258064,20
Muito Caro (>2.5),16,-2.7669908472910745,-4.3565465075343095,0.16003998119005752,37.5,20
Muito Barato (<-2.5),9,-13.05354947708605,-25.966380655188704,0.29468053536321354,33.33333333333333,40
Barato (-2.5 a -1.5),152,-10.79496028093806,-13.783755858190577,0.3175306767242756,32.23684210526316,40
Leve Desc (-1.5 a -0.5),347,-7.719346094550455,-19.010417588287986,0.40721071334889514,22.427440633245382,40
Neutro,208,0.26970067893842037,-9.090588538401123,0.34478977941938477,39.351851851851855,40
Leve Premio (0.5 a 1.5),121,-8.638426160439309,-20.38724392133078,0.26790172667611606,20.66115702479339,40
Caro (1.5 a 2.5),31,-7.52520396565326,-13.506496916494381,0.2089058179948805,41.935483870967744,40
Muito Caro (>2.5),16,-13.936658364268853,-12.975022354578469,0.10065423187505454,6.25,40
