z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),4,1.4470059335238927,2.558376129903084,0.03442490165817027,75.0,5
Barato (-2.5 a -1.5),73,1.1495642067718328,0.8557859407061885,0.028267296614530524,60.273972602739725,5
Leve Desc (-1.5 a -0.5),210,-0.04185610812492421,-0.10786201930328976,0.02607451396242158,47.61904761904761,5
Neutro,160,0.1486554155479924,0.19413268566310649,0.03235866082365966,51.87500000000001,5
Leve Premio (0.5 a 1.5),244,0.5495432438868462,0.5995224657450504,0.03163527501441602,59.83606557377049,5
Caro (1.5 a 2.5),190,0.224061191761484,0.05516578664407357,0.029359193516789978,50.259067357512954,5
Muito Caro (>2.5),38,1.087837769952435,0.968978380475205,0.02196398771941705,62.5,5
Muito Barato (<-2.5),4,3.0354237580603876,3.2499488360159923,0.03533938647336269,75.0,10
Barato (-2.5 a -1.5),73,2.3928802253569823,2.25489593481758,0.0380401019447417,69.86301369863014,10
Leve Desc (-1.5 a -0.5),210,-0.2761317709131167,-0.4902920185872517,0.03112435917485211,43.333333333333336,10
Neutro,160,0.5055246072314185,0.4259494839576994,0.0456767608986275,51.87500000000001,10
Leve Premio (0.5 a 1.5),244,0.8456022030587673,0.3525861265222252,0.044640151194013544,52.459016393442624,10
Caro (1.5 a 2.5),188,0.7898257833043641,0.31392860190487815,0.04108352621417787,53.36787564766839,10
Muito Caro (>2.5),35,1.565951476347546,1.226356568494702,0.036589593026420376,65.0,10
Muito Barato (<-2.5),4,3.203112225733093,5.1483434772999,0.05249562227419783,75.0,20
Barato (-2.5 a -1.5),73,3.546268198334247,3.8150660522637603,0.04486242652939046,78.08219178082192,20
Leve Desc (-1.5 a -0.5),210,0.30027797070074497,-0.3676649280705879,0.042493386505882864,43.80952380952381,20
Neutro,160,0.6264113252130776,-0.37009596809311485,0.06518254374385389,47.5,20
Leve Premio (0.5 a 1.5),244,2.372901936354493,1.9673061942489523,0.06667985125041913,58.606557377049185,20
Caro (1.5 a 2.5),188,0.8988168729235271,0.7029662879788012,0.06338276125151823,54.92227979274611,20
Muito Caro (>2.5),25,-0.3026089958031277,-0.8455464212066888,0.057743203503058775,27.500000000000004,20
Muito Barato (<-2.5),4,1.4814973964273976,2.1596003610592107,0.08428127657073294,75.0,40
Barato (-2.5 a -1.5),73,4.215758072198016,3.3210270638221573,0.0790186670578699,71.23287671232876,40
Leve Desc (-1.5 a -0.5),210,1.1514792539273544,-0.028885699567787748,0.054399483236219404,49.523809523809526,40
Neutro,160,1.7483577537805157,-1.0676594917159665,0.09453915784934383,43.75,40
Leve Premio (0.5 a 1.5),239,4.886922454528123,5.583216692594606,0.08720597098482304,61.065573770491795,40
Caro (1.5 a 2.5),176,-0.7645376138089349,-1.9305676591874321,0.06756253297688888,35.233160621761655,40
Muito Caro (>2.5),22,-0.9754894399022506,-0.11113134340202113,0.07695333884702187,27.500000000000004,40
