z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),7,0.8972604982596222,1.1551106810674838,0.021804701290743404,71.42857142857143,5
Barato (-2.5 a -1.5),57,0.10867074736128865,0.21945572384327594,0.025545911911902457,54.385964912280706,5
Leve Desc (-1.5 a -0.5),62,0.9527173815675343,0.8140162399021489,0.03233663948527216,59.67741935483871,5
Neutro,235,0.8446409695830011,0.47280590901737085,0.028767666233013738,59.148936170212764,5
Leve Premio (0.5 a 1.5),331,0.7241799036110215,0.46599524946808746,0.03528693030910793,56.49546827794561,5
Caro (1.5 a 2.5),180,0.27028188052432717,0.4915381808824004,0.03679225204969837,53.888888888888886,5
Muito Caro (>2.5),47,0.19289961294145413,0.5458442288839738,0.032256782137462574,50.0,5
Muito Barato (<-2.5),7,1.7095328181439124,1.5872857723266742,0.027651847013120862,71.42857142857143,10
Barato (-2.5 a -1.5),57,1.087889357964352,0.9006279402975048,0.03778142440401529,63.1578947368421,10
Leve Desc (-1.5 a -0.5),62,1.2724601000041138,1.4405961686826618,0.04931587144979877,61.29032258064516,10
Neutro,235,1.8506654055551026,0.9501186955288787,0.05072517974349852,62.97872340425532,10
Leve Premio (0.5 a 1.5),331,1.223649885315914,0.8304439687983889,0.04362391479165759,61.027190332326285,10
Caro (1.5 a 2.5),179,0.746602936514267,0.2305232000545221,0.050797183293850585,51.11111111111111,10
Muito Caro (>2.5),43,-0.06457686820832219,1.017169775859239,0.04351112999632184,46.15384615384615,10
Muito Barato (<-2.5),7,-0.5437820916610714,-3.6075196620993566,0.059925810997361974,28.57142857142857,20
Barato (-2.5 a -1.5),57,3.858789067632016,3.1294601243173625,0.08896702362140634,61.40350877192983,20
Leve Desc (-1.5 a -0.5),62,3.2663425851844146,0.6853611814748861,0.10574825274906777,59.67741935483871,20
Neutro,235,3.857860804644478,2.580194054541929,0.06772061700755837,70.2127659574468,20
Leve Premio (0.5 a 1.5),331,2.180231122185659,2.7752764619134895,0.05470157990156217,66.76737160120845,20
Caro (1.5 a 2.5),179,1.2912054560314696,0.6481497567239813,0.06917764991739984,52.22222222222223,20
Muito Caro (>2.5),33,-0.5810703350343435,-1.4051592157481085,0.06254144211541064,25.0,20
Muito Barato (<-2.5),7,8.764591853727369,11.640947994650164,0.07479728382364494,85.71428571428571,40
Barato (-2.5 a -1.5),57,13.263070312144084,10.636700943589084,0.15551071190503618,77.19298245614034,40
Leve Desc (-1.5 a -0.5),62,3.9249304313836713,0.4746598793245127,0.11862523467220618,51.61290322580645,40
Neutro,235,5.426858922586727,4.8255166296688135,0.0737619388536111,79.14893617021276,40
Leve Premio (0.5 a 1.5),319,4.520418102626283,4.467352198815044,0.08957988187431534,63.74622356495468,40
Caro (1.5 a 2.5),171,3.2508638734910553,2.2144273546278237,0.09605057424500421,61.66666666666667,40
Muito Caro (>2.5),33,3.2704203941252055,4.407001299363178,0.09823725255978866,38.46153846153847,40
