z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),4,2.008747424255028,1.079587737191573,0.037795161486369404,50.0,5
Barato (-2.5 a -1.5),20,0.14263067496847803,2.7708688234397982,0.05997099308574319,60.0,5
Leve Desc (-1.5 a -0.5),44,3.3468625609012466,3.5740564306751987,0.04070819814057787,79.54545454545455,5
Neutro,116,2.331760538946541,2.1025416703978617,0.049989622057634915,66.37931034482759,5
Leve Premio (0.5 a 1.5),288,0.8070980172403732,1.1003246250596121,0.05220593154935482,59.72222222222222,5
Caro (1.5 a 2.5),399,0.8897909499080984,1.1888401367865509,0.046424215799531064,57.67326732673267,5
Muito Caro (>2.5),48,-0.12102402434131891,-0.3586058757485244,0.03864599028731915,41.66666666666667,5
Muito Barato (<-2.5),4,2.2157038166521037,-0.2662772072000996,0.061068665822026795,50.0,10
Barato (-2.5 a -1.5),20,2.773569597630891,4.9260247160147985,0.0667053415306395,70.0,10
Leve Desc (-1.5 a -0.5),44,6.914163956509395,6.686431801457193,0.06336584447727282,88.63636363636364,10
Neutro,116,3.2841267192722143,2.797802067299626,0.07644498015612039,70.6896551724138,10
Leve Premio (0.5 a 1.5),288,1.9101776813141558,2.2456105460260445,0.07013414908064709,61.458333333333336,10
Caro (1.5 a 2.5),394,1.97729990319011,1.8850384442382295,0.06519060299051126,61.13861386138614,10
Muito Caro (>2.5),48,-1.030615864472798,-1.4513553663225154,0.051644476027850654,41.66666666666667,10
Muito Barato (<-2.5),4,1.7109151572224395,0.26615834616862677,0.046621841008707705,50.0,20
Barato (-2.5 a -1.5),20,10.835172481514485,10.319666744453782,0.11197477011363896,70.0,20
Leve Desc (-1.5 a -0.5),44,7.863712145698315,10.730013469924238,0.10917021190508958,75.0,20
Neutro,116,6.6985175322284745,7.380162841596938,0.08539686808619124,79.3103448275862,20
Leve Premio (0.5 a 1.5),288,4.39495879461024,4.910685880041221,0.09986445584182124,69.09722222222221,20
Caro (1.5 a 2.5),384,3.6896432445913807,4.009258025574924,0.08495592328009137,65.5940594059406,20
Muito Caro (>2.5),48,1.6640900591489376,1.7268815938509152,0.07877152797235638,62.5,20
Muito Barato (<-2.5),4,4.862411249929421,4.895416730835233,0.04854493523994179,75.0,40
Barato (-2.5 a -1.5),20,17.898678601623445,18.94368524278334,0.17706555355511544,80.0,40
Leve Desc (-1.5 a -0.5),44,15.924768907160876,14.351909206057966,0.1232956409314446,90.9090909090909,40
Neutro,116,13.84394110387187,15.096884054813364,0.11065242481422552,92.24137931034483,40
Leve Premio (0.5 a 1.5),288,10.299948187505963,11.212293830805752,0.12765708349877747,79.16666666666666,40
Caro (1.5 a 2.5),364,6.709961950522726,7.702734611918672,0.12100526954785502,67.07920792079209,40
Muito Caro (>2.5),48,5.029808366796484,8.561246234798858,0.1462838449689185,52.083333333333336,40
