z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),22,-1.968598122895707,-2.18063971917089,0.06369269220772694,36.36363636363637,5
Barato (-2.5 a -1.5),121,-0.7521339184738388,-1.3452943502036518,0.06633206793370673,38.01652892561984,5
Leve Desc (-1.5 a -0.5),188,-0.49554229587443843,-0.4404806734587763,0.07218668145903734,45.21276595744681,5
Neutro,123,-1.324767558364042,-0.8849504464858771,0.05998531236641396,41.46341463414634,5
Leve Premio (0.5 a 1.5),242,2.064434687073217,1.661472104484718,0.05701411198496089,59.09090909090909,5
Caro (1.5 a 2.5),207,1.522750512750403,0.3906254570329448,0.05781801918871047,51.886792452830186,5
Muito Caro (>2.5),16,-2.1682283428868168,-3.5979095138493236,0.055585762355603245,31.25,5
Muito Barato (<-2.5),22,-4.461813392136696,-3.99676991324619,0.07428074897086624,22.727272727272727,10
Barato (-2.5 a -1.5),121,0.03230225110935951,0.234732805744442,0.09690420757404272,50.413223140495866,10
Leve Desc (-1.5 a -0.5),188,-1.0246548635721457,-1.7451576474228903,0.10668445918406119,42.02127659574468,10
Neutro,123,-3.355957671983977,-3.324465198495463,0.07059679151268805,29.268292682926827,10
Leve Premio (0.5 a 1.5),242,4.2715472277368915,3.9939661117559755,0.0911948760394285,63.63636363636363,10
Caro (1.5 a 2.5),205,2.43178687858237,1.5827368268513942,0.07280658688889684,53.301886792452834,10
Muito Caro (>2.5),13,-0.7987245174532155,-2.31053610953047,0.06702100013772065,18.75,10
Muito Barato (<-2.5),22,-1.2786377893288787,-1.550475786250538,0.12920216255089703,50.0,20
Barato (-2.5 a -1.5),121,4.19781101733405,2.5761293755016235,0.11903785805597183,57.02479338842975,20
Leve Desc (-1.5 a -0.5),188,-4.502211518889183,-3.7255641170799434,0.14316045338334293,38.297872340425535,20
Neutro,123,-6.303367730619233,-5.8902209031650665,0.09113416571587277,24.390243902439025,20
Leve Premio (0.5 a 1.5),242,9.698043653246016,10.679882836208087,0.1377996381064412,74.3801652892562,20
Caro (1.5 a 2.5),200,2.6490018182955697,0.991555962249302,0.10185946537759863,49.528301886792455,20
Muito Caro (>2.5),8,2.3927925071169267,2.461791183143119,0.07206728765383605,25.0,20
Muito Barato (<-2.5),22,0.36993231398752446,-8.458775363388737,0.1519900915719609,36.36363636363637,40
Barato (-2.5 a -1.5),121,3.699150616304782,-0.6501190136524504,0.16700854009359495,47.93388429752066,40
Leve Desc (-1.5 a -0.5),188,-6.903262502464508,-8.600303070419846,0.21142286630103208,33.51063829787234,40
Neutro,123,-8.855122408600703,-10.709108535662526,0.12983848225591832,17.88617886178862,40
Leve Premio (0.5 a 1.5),231,17.14814667619718,20.091330970166222,0.1673147482434912,80.57851239669421,40
Caro (1.5 a 2.5),193,5.370591178377744,3.2210945311449413,0.11641399710585577,52.358490566037744,40
Muito Caro (>2.5),6,8.78629256704158,7.130325837537055,0.03810373669420045,37.5,40
