z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),17,-0.06785107517935145,-0.49423737990008654,0.03527892910405367,47.05882352941176,5
Barato (-2.5 a -1.5),100,-0.5288854139784079,-0.615532802699198,0.04432454496331526,38.0,5
Leve Desc (-1.5 a -0.5),132,0.09100952186881338,0.0,0.040697243953581465,47.72727272727273,5
Neutro,193,0.276906565487905,-0.07818787264787241,0.03599482567218789,49.22279792746114,5
Leve Premio (0.5 a 1.5),248,0.45791593463627805,0.4255813475077863,0.03671561447847551,52.41935483870967,5
Caro (1.5 a 2.5),190,0.615393014982491,0.30624509411536494,0.03322362542023106,55.8974358974359,5
Muito Caro (>2.5),39,-0.9342881881673524,-0.4975102796197506,0.026071378882388755,43.58974358974359,5
Muito Barato (<-2.5),17,0.16596705612263485,-0.6505636339174115,0.035193297594759504,47.05882352941176,10
Barato (-2.5 a -1.5),100,-0.5524325622660073,-1.1635082472939762,0.06010150662980135,45.0,10
Leve Desc (-1.5 a -0.5),132,0.5433809694560369,-0.2288057725035264,0.05727949398853152,48.484848484848484,10
Neutro,193,0.5045722303421099,0.15661318224304832,0.050793193620805116,50.77720207253886,10
Leve Premio (0.5 a 1.5),248,0.6678545930872182,0.19128596766253558,0.051462656330181204,51.20967741935484,10
Caro (1.5 a 2.5),186,0.8640529169865365,0.6517827569491486,0.04962941524413994,53.333333333333336,10
Muito Caro (>2.5),38,-0.4826807834692348,0.10765827684852125,0.03477506099978343,51.28205128205128,10
Muito Barato (<-2.5),17,2.387613143741027,4.8763289940589205,0.07277296885092488,58.82352941176471,20
Barato (-2.5 a -1.5),100,-0.5421091859575284,-1.5676406647353536,0.07428633895326356,47.0,20
Leve Desc (-1.5 a -0.5),132,0.9496839832505346,0.7829808985933329,0.07678837583269757,56.060606060606055,20
Neutro,193,0.39825535958765823,0.6274503820082655,0.061942853839116595,52.84974093264248,20
Leve Premio (0.5 a 1.5),248,2.2129424811600797,1.2398242673186677,0.07128627344337966,59.67741935483871,20
Caro (1.5 a 2.5),179,0.6468674307850442,0.9475226815653048,0.08056560036329616,48.717948717948715,20
Muito Caro (>2.5),35,1.0769182276819758,1.731607003877933,0.05055674839184474,58.97435897435898,20
Muito Barato (<-2.5),17,5.431425811708928,3.4482703375678048,0.06301383171998973,76.47058823529412,40
Barato (-2.5 a -1.5),100,0.7182686058010528,0.5341601682864128,0.07543538734158384,53.0,40
Leve Desc (-1.5 a -0.5),132,0.8710457934952223,0.8425775073026331,0.1154211040481462,54.54545454545454,40
Neutro,193,2.847243327856948,3.9215686274509887,0.08660747509156656,64.76683937823834,40
Leve Premio (0.5 a 1.5),248,3.5291663147572123,3.238241896849048,0.10357034517248986,63.306451612903224,40
Caro (1.5 a 2.5),169,0.08035224295282463,-1.8691570737231822,0.13148789463620308,37.43589743589744,40
Muito Caro (>2.5),25,-4.282377141830465,-6.504645191565839,0.06754674659706446,25.64102564102564,40
