z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),7,2.5006878202541833,0.3274862472564921,0.04037397945794637,71.42857142857143,5
Barato (-2.5 a -1.5),109,0.4255421007875324,-0.029980675485974384,0.031015748379017483,48.62385321100918,5
Leve Desc (-1.5 a -0.5),94,-0.06219023279790864,-0.41801456273018456,0.03271314431865302,42.5531914893617,5
Neutro,141,0.3880627682087292,0.18496514892187843,0.03749531914695246,50.35460992907801,5
Leve Premio (0.5 a 1.5),339,0.463977345810655,0.3611232410408949,0.03044232405928646,54.11764705882353,5
Caro (1.5 a 2.5),209,0.3492706202016875,0.28592259755271243,0.03105134427335166,50.23474178403756,5
Muito Caro (>2.5),20,-1.2920540280834831,-1.1172326483878114,0.020931595834737176,30.0,5
Muito Barato (<-2.5),7,2.9782119289027267,2.4436835327976913,0.03065001648487068,85.71428571428571,10
Barato (-2.5 a -1.5),109,0.9549171412882896,0.0,0.04970067575996774,49.54128440366973,10
Leve Desc (-1.5 a -0.5),94,-0.43836680920683513,-1.5512376678034234,0.04713886575695573,35.1063829787234,10
Neutro,141,0.6816013145428241,0.5846124830341637,0.048571997340833936,53.191489361702125,10
Leve Premio (0.5 a 1.5),339,1.1550377545967803,0.7410102541101526,0.04347591610721788,57.647058823529406,10
Caro (1.5 a 2.5),204,0.4797980098207395,0.29522755329478567,0.03944313963170806,50.70422535211267,10
Muito Caro (>2.5),20,-1.258239475848556,-0.02537472644281169,0.04043598097847782,50.0,10
Muito Barato (<-2.5),7,1.8843814676377697,1.1724042906527288,0.03175060622596212,71.42857142857143,20
Barato (-2.5 a -1.5),109,2.1573244213048777,0.4747637800252891,0.06817103433022209,51.37614678899083,20
Leve Desc (-1.5 a -0.5),94,-1.2311860867538655,-3.6996872479872325,0.06476620438056253,31.914893617021278,20
Neutro,141,1.2917491606476337,1.2815245177943302,0.07012573730272281,53.191489361702125,20
Leve Premio (0.5 a 1.5),339,2.237373067822294,1.9942213450970137,0.06061238571349966,57.94117647058824,20
Caro (1.5 a 2.5),194,1.02752701788778,1.0636015006585287,0.055826572818323185,50.23474178403756,20
Muito Caro (>2.5),20,0.24497038494053605,3.130366080562197,0.06019492017998265,55.00000000000001,20
Muito Barato (<-2.5),7,0.42216361690196047,-0.38247675756593047,0.06527890932967252,42.857142857142854,40
Barato (-2.5 a -1.5),109,2.862664057416283,2.1127164577126933,0.08577276958500425,53.21100917431193,40
Leve Desc (-1.5 a -0.5),94,1.1713541290148775,1.1289394105312156,0.08205338380670464,56.38297872340425,40
Neutro,141,1.601923059473567,2.165912005282822,0.09916293275137919,57.446808510638306,40
Leve Premio (0.5 a 1.5),326,4.760407382697843,4.0525309439849995,0.08006955851768034,65.88235294117646,40
Caro (1.5 a 2.5),187,1.819470918147864,0.09054549701557058,0.08208457724657017,45.539906103286384,40
Muito Caro (>2.5),20,-3.4556240942809806,-5.447339558541698,0.07180819092766921,30.0,40
