z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),8,1.0325319283113519,2.6345101685925187,0.0431650637574622,62.5,5
Barato (-2.5 a -1.5),95,0.32590234604051,0.6627043957597945,0.045367998327461315,57.89473684210527,5
Leve Desc (-1.5 a -0.5),220,0.5429290295353703,0.7863847302970961,0.03986361789822653,60.45454545454545,5
Neutro,292,0.3414646000770078,0.3939111819586838,0.04056124500117547,52.73972602739726,5
Leve Premio (0.5 a 1.5),162,-0.6402421742230987,-0.5045823675910777,0.042916742101398515,42.592592592592595,5
Caro (1.5 a 2.5),97,-0.022992604580113037,0.6500620669652069,0.041766595974206545,54.54545454545454,5
Muito Caro (>2.5),45,-0.5314077368009852,-0.20376469632589211,0.035305113038079046,43.75,5
Muito Barato (<-2.5),8,2.108906384408589,3.193768381896467,0.05178262708097164,62.5,10
Barato (-2.5 a -1.5),95,1.1276788077878916,1.5573831002333893,0.054131788825943404,56.84210526315789,10
Leve Desc (-1.5 a -0.5),220,0.9816969660517004,2.149283427922477,0.051249471716178004,66.36363636363637,10
Neutro,292,0.60391616498251,0.3982834213181352,0.05481905138965146,53.42465753424658,10
Leve Premio (0.5 a 1.5),162,-1.170391152454609,-0.915800338150341,0.06556365076097811,45.67901234567901,10
Caro (1.5 a 2.5),94,0.052481912591015485,1.7038538511717216,0.07412809001214825,54.54545454545454,10
Muito Caro (>2.5),43,-1.9146239660141526,-1.47784071911079,0.05469813942851517,33.33333333333333,10
Muito Barato (<-2.5),8,3.0099882384664727,3.809217292664502,0.04291933511307049,75.0,20
Barato (-2.5 a -1.5),95,2.931917696550388,4.076547564023425,0.06547599298423191,76.84210526315789,20
Leve Desc (-1.5 a -0.5),220,0.9143173796902748,2.3919739879208923,0.06720567202581164,60.45454545454545,20
Neutro,292,1.4228247316488676,1.1858920460749545,0.07618019196054554,59.589041095890416,20
Leve Premio (0.5 a 1.5),162,-0.9229726176823485,-1.4047948935613286,0.09485170391034432,41.358024691358025,20
Caro (1.5 a 2.5),84,-0.9126240292491545,1.6833318203849146,0.10018960528757288,49.494949494949495,20
Muito Caro (>2.5),43,-4.669655200933733,-3.723967041303966,0.08167188595310365,33.33333333333333,20
Muito Barato (<-2.5),8,7.511652521802385,9.564543898766075,0.11865752480108759,62.5,40
Barato (-2.5 a -1.5),95,3.3277597040636793,3.644435595987594,0.07928850593032949,68.42105263157895,40
Leve Desc (-1.5 a -0.5),220,1.3730822033221495,1.7221523079435697,0.10150155096881323,54.54545454545454,40
Neutro,292,1.9761180743072,1.9071523763086407,0.10859130633974792,61.64383561643836,40
Leve Premio (0.5 a 1.5),162,0.6267356231618109,-0.14993319912565695,0.11523315581321344,48.148148148148145,40
Caro (1.5 a 2.5),70,-5.179397950108289,-7.302380528319152,0.10856167932323596,17.17171717171717,40
Muito Caro (>2.5),37,-5.044653270255251,-8.923217064943966,0.1158152754939158,29.166666666666668,40
