z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),19,-2.6930452709568673,-4.428042652916108,0.059888795857970835,36.84210526315789,5
Barato (-2.5 a -1.5),95,-2.545732863460987,-3.2716929190498067,0.09314097595226783,32.0,5
Leve Desc (-1.5 a -0.5),235,-1.4235501233448276,-1.1955836984017476,0.10274347488103674,43.40425531914894,5
Neutro,235,1.269928464892007,1.3100459473920356,0.08356971514727492,55.74468085106383,5
Leve Premio (0.5 a 1.5),251,-0.8831388347501243,-0.9049751365725056,0.07531414278971121,42.62948207171315,5
Caro (1.5 a 2.5),71,-4.149613654437833,-4.158610240137772,0.0498744999302261,16.901408450704224,5
Muito Caro (>2.5),13,0.9731852351467297,0.7042235863994106,0.043608394604289405,69.23076923076923,5
Muito Barato (<-2.5),19,-8.175999118595442,-8.13559839280985,0.0884354747074725,10.526315789473683,10
Barato (-2.5 a -1.5),90,-6.5171328364179955,-8.250441126840997,0.12237559779547198,28.999999999999996,10
Leve Desc (-1.5 a -0.5),235,-1.50884621554616,-2.4963318782837085,0.13728862049026472,45.53191489361702,10
Neutro,235,1.3833558930312744,1.3274359685016224,0.1223114085086133,54.04255319148936,10
Leve Premio (0.5 a 1.5),251,-1.1569013347770627,-0.702571397975571,0.09252004811290665,45.0199203187251,10
Caro (1.5 a 2.5),71,-7.724591594375663,-6.741573033707871,0.10030463817966569,16.901408450704224,10
Muito Caro (>2.5),13,-1.3708124890545248,-0.35461354275270196,0.0682028370364093,46.15384615384615,10
Muito Barato (<-2.5),19,-13.695458292088839,-17.712170611664458,0.11296565742526711,10.526315789473683,20
Barato (-2.5 a -1.5),80,-8.326053438860846,-8.777798733005909,0.15458284343085243,27.0,20
Leve Desc (-1.5 a -0.5),235,-0.7862367287983363,3.218388466085975,0.2312748029325481,54.46808510638298,20
Neutro,235,0.7526606266478509,1.7994846007172383,0.18681505882359106,54.8936170212766,20
Leve Premio (0.5 a 1.5),251,-2.8850660477112724,-2.8508838218357924,0.11187967142277555,35.85657370517929,20
Caro (1.5 a 2.5),71,-13.167067101692373,-13.092546798788574,0.13768797099329347,18.30985915492958,20
Muito Caro (>2.5),13,-11.382036110621081,-9.007086589390934,0.11213055978286383,7.6923076923076925,20
Muito Barato (<-2.5),18,-10.386142594370849,-9.66319718682061,0.11579745281499135,15.789473684210526,40
Barato (-2.5 a -1.5),77,-9.248452273123098,-5.829604262516397,0.21405318719867855,27.0,40
Leve Desc (-1.5 a -0.5),219,7.921281602175218,6.103283021713146,0.3332665136739696,56.59574468085107,40
Neutro,235,-3.5943430769393223,2.6881720797654607,0.2653625321766479,57.87234042553191,40
Leve Premio (0.5 a 1.5),251,-7.682667952432869,-6.302520873713114,0.1558209025202049,32.669322709163346,40
Caro (1.5 a 2.5),71,-19.807918299756032,-16.12903705455335,0.11867350481449418,1.4084507042253522,40
Muito Caro (>2.5),13,-24.204998999071197,-21.911417745207906,0.07429736731264237,0.0,40
