z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),7,-10.572246087044748,-10.000003467906604,0.09469045558392822,14.285714285714285,5
Barato (-2.5 a -1.5),122,-0.8029719305451778,-1.7899832611664779,0.08495593603676041,36.885245901639344,5
Leve Desc (-1.5 a -0.5),306,1.2144474649827735,0.204370678239707,0.08472437993215684,50.65359477124183,5
Neutro,272,-0.26351225997494887,-0.327868544904808,0.06804681362839655,43.38235294117647,5
Leve Premio (0.5 a 1.5),143,-2.3395895055765075,-1.020899793817187,0.14975264042136205,43.91891891891892,5
Caro (1.5 a 2.5),57,-1.9552250943674088,-1.4118836543386748,0.09581258830318526,49.122807017543856,5
Muito Caro (>2.5),12,-4.37907870569666,-4.499122172457243,0.08423869341542277,25.0,5
Muito Barato (<-2.5),7,-14.911455566084571,-14.051242466480119,0.13097213572513206,14.285714285714285,10
Barato (-2.5 a -1.5),122,-1.1738678940452394,-1.4834824452802375,0.13086961130270156,43.44262295081967,10
Leve Desc (-1.5 a -0.5),306,2.2332506318268672,5.551115123125783e-15,0.11370345122452617,50.0,10
Neutro,272,-0.2449609088241434,-0.6483401926320687,0.09810256717445531,45.588235294117645,10
Leve Premio (0.5 a 1.5),138,-5.430224737588752,-2.7070461323770614,0.2149537148541335,35.810810810810814,10
Caro (1.5 a 2.5),57,-3.7300002633007514,-5.233639961913639,0.11119315412594719,31.57894736842105,10
Muito Caro (>2.5),12,-5.895791157394712,-4.433815432665228,0.1660966065403284,33.33333333333333,10
Muito Barato (<-2.5),7,-23.913855874825302,-39.09091082486239,0.2689492903540898,14.285714285714285,20
Barato (-2.5 a -1.5),122,2.727177796588859,0.39271159863389915,0.20546199660938694,50.81967213114754,20
Leve Desc (-1.5 a -0.5),306,3.573066449681303,4.428908471933424,0.15733321710759757,59.47712418300654,20
Neutro,272,0.05155117906781034,-1.6620465583852606,0.13911655963516537,46.69117647058824,20
Leve Premio (0.5 a 1.5),128,-11.740804007058086,-4.724476354444112,0.2886818358634448,29.72972972972973,20
Caro (1.5 a 2.5),57,-12.417744336579819,-10.194171105380324,0.16249531194098057,10.526315789473683,20
Muito Caro (>2.5),12,-11.687514698202142,-13.56738419590418,0.14437346513320626,16.666666666666664,20
Muito Barato (<-2.5),7,-26.201384835734736,-40.36363688382235,0.2687663451347834,14.285714285714285,40
Barato (-2.5 a -1.5),122,7.096000610128274,8.08365348626866,0.20874635675243233,66.39344262295081,40
Leve Desc (-1.5 a -0.5),306,3.9252437304490213,3.974172885165206,0.18175415526726174,59.80392156862745,40
Neutro,265,0.44017600814884056,-0.3124996973201677,0.17357184836218573,47.05882352941176,40
Leve Premio (0.5 a 1.5),115,-19.380990875263468,-8.992805847944684,0.319786182648729,21.62162162162162,40
Caro (1.5 a 2.5),57,-30.416552914572137,-17.34417601571159,0.314898641215867,3.508771929824561,40
Muito Caro (>2.5),12,-24.23647319988835,-17.635515628779004,0.37757349943647833,25.0,40
