z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),25,-3.846163600056931,-3.3613511881459113,0.10982101789804267,20.0,5
Barato (-2.5 a -1.5),211,-0.41982933741865947,-0.980391240220746,0.06569536347704451,43.60189573459716,5
Leve Desc (-1.5 a -0.5),342,-0.8965800830160422,-0.7628366796969599,0.06357451081756964,42.07492795389049,5
Neutro,175,-1.1085807810449244,-1.1787676469378727,0.05537015754930476,37.714285714285715,5
Leve Premio (0.5 a 1.5),97,-0.9785225690821615,-1.5872980541511983,0.05382096150231188,41.23711340206185,5
Caro (1.5 a 2.5),50,-0.26172872448255213,-0.8215996497575317,0.05082164913071992,32.0,5
Muito Caro (>2.5),19,-0.5534366059539381,0.0,0.07981943681900587,47.368421052631575,5
Muito Barato (<-2.5),25,-4.891859501233885,-8.408896681765999,0.1507431932856484,32.0,10
Barato (-2.5 a -1.5),210,-1.0085854826275038,-1.7904332895883002,0.09434946818822851,42.65402843601896,10
Leve Desc (-1.5 a -0.5),338,-2.2510074266841515,-2.287603991286508,0.08396399172571974,35.73487031700288,10
Neutro,175,-1.7791880262460793,-2.5906744374602497,0.08158227362278823,34.285714285714285,10
Leve Premio (0.5 a 1.5),97,-1.953044298210195,-1.5228411651818319,0.07582412404094847,37.11340206185567,10
Caro (1.5 a 2.5),50,-0.4718299769457522,-1.4431411531077076,0.08346569142056587,36.0,10
Muito Caro (>2.5),19,0.7799819338803465,1.0899034067522795,0.10161840671846485,52.63157894736842,10
Muito Barato (<-2.5),25,5.448168066894812,6.611563734210191,0.19882514963374698,60.0,20
Barato (-2.5 a -1.5),200,-3.1522921708881366,-4.290968876403961,0.12281948705081878,34.12322274881517,20
Leve Desc (-1.5 a -0.5),338,-5.818913519369088,-5.938224321976687,0.10196005206319023,25.936599423631122,20
Neutro,175,-2.460080143104373,-3.888883543509425,0.11630513291723288,38.857142857142854,20
Leve Premio (0.5 a 1.5),97,-1.894667456440829,-4.591837577970281,0.11168410267055501,32.98969072164948,20
Caro (1.5 a 2.5),50,-1.9131461148292443,-6.382841946501366,0.14844140807591333,30.0,20
Muito Caro (>2.5),19,-0.972565176338001,0.7092250689002544,0.08948242947785899,52.63157894736842,20
Muito Barato (<-2.5),25,-0.4254072004934044,-16.346150319251663,0.30149567650696696,32.0,40
Barato (-2.5 a -1.5),187,-8.021706439090485,-10.778449477334352,0.1430415429122746,26.540284360189574,40
Leve Desc (-1.5 a -0.5),331,-9.305565122596082,-9.877355592365777,0.1301581620976981,23.631123919308358,40
Neutro,175,-5.826036933300175,-8.64197440017307,0.15876058739524776,33.14285714285714,40
Leve Premio (0.5 a 1.5),97,1.6515475082547681,0.1600509369885872,0.1986502690501717,51.546391752577314,40
Caro (1.5 a 2.5),50,-5.465746435410024,-10.04315770234948,0.15356888797052265,28.000000000000004,40
Muito Caro (>2.5),19,-10.064297430037671,-14.40252803559623,0.13377071025131665,31.57894736842105,40
