z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),1,-1.263821203090354,-1.263821203090354,,0.0,5
Barato (-2.5 a -1.5),62,1.754090291383055,1.1849767620077722,0.06428270198306464,59.67741935483871,5
Leve Desc (-1.5 a -0.5),216,-0.12469009238006003,0.014796837940311836,0.06545598781902034,50.0,5
Neutro,236,-0.5504019452186214,-0.5872385577854522,0.05472756046689376,44.91525423728814,5
Leve Premio (0.5 a 1.5),178,0.4012379328516535,-0.23736456339248924,0.04727385892096919,47.51381215469613,5
Caro (1.5 a 2.5),191,0.5617543904436296,0.7125928350488309,0.04450640331659547,57.51295336787565,5
Muito Caro (>2.5),35,0.9220435090787481,1.654996315662971,0.041009015397989894,68.57142857142857,5
Muito Barato (<-2.5),1,-2.3696711603803045,-2.3696711603803045,,0.0,10
Barato (-2.5 a -1.5),62,2.981259384060211,0.6461327449478582,0.10103846099382421,54.83870967741935,10
Leve Desc (-1.5 a -0.5),216,0.2813809651738737,-0.12990109906096392,0.093638580856283,48.61111111111111,10
Neutro,236,-0.894494488724634,-1.5382784989215248,0.07917396129210263,41.94915254237288,10
Leve Premio (0.5 a 1.5),177,1.6191879147798147,-0.9219658224049021,0.07117196383829896,46.96132596685083,10
Caro (1.5 a 2.5),187,0.16127236048910346,0.8965079745119064,0.06460697278529005,52.84974093264248,10
Muito Caro (>2.5),35,1.253200705108879,-0.23858644055947398,0.06863436218636974,45.714285714285715,10
Muito Barato (<-2.5),1,3.0410681687897068,3.0410681687897068,,100.0,20
Barato (-2.5 a -1.5),62,4.98127083299726,3.7177441784630005,0.14256368620345816,64.51612903225806,20
Leve Desc (-1.5 a -0.5),216,2.880752221780787,2.010956369658945,0.13032158345357334,56.481481481481474,20
Neutro,236,-2.1882596778370194,-2.714918723130327,0.1150448589315243,40.67796610169492,20
Leve Premio (0.5 a 1.5),177,2.755718362578345,1.186434067107589,0.09400524358410889,51.38121546961326,20
Caro (1.5 a 2.5),177,0.43601007670451064,1.2357279536378662,0.10135861033807697,48.18652849740933,20
Muito Caro (>2.5),35,-0.5830777464326485,-2.8445236665145868,0.09896476521248926,37.142857142857146,20
Muito Barato (<-2.5),1,-6.667062897046961,-6.667062897046961,,0.0,40
Barato (-2.5 a -1.5),62,6.986244430583468,4.369104108120469,0.1831663366508923,54.83870967741935,40
Leve Desc (-1.5 a -0.5),216,7.424633722469647,7.9325142084410665,0.1816121465749465,64.35185185185185,40
Neutro,236,-0.4417727183886169,-4.222575287241703,0.15299990793409643,42.3728813559322,40
Leve Premio (0.5 a 1.5),177,3.220989785176424,3.955419462581089,0.1556471647206851,58.011049723756905,40
Caro (1.5 a 2.5),159,-1.0849663698475818,1.7996226973246099,0.13995854253674295,44.04145077720207,40
Muito Caro (>2.5),33,-5.575303045182385,-7.9624047081449545,0.10019302004916524,22.857142857142858,40
