z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),24,1.9033818745147122,1.6840386973192456,0.03517249658015978,75.0,5
Barato (-2.5 a -1.5),151,0.9793628948533867,1.1334987497964244,0.05099144177594312,53.84615384615385,5
Leve Desc (-1.5 a -0.5),303,-0.024110873658337202,-0.3734364936648804,0.058374863379269136,46.53465346534654,5
Neutro,231,-0.2789938145941249,-0.4291807432547645,0.05144949729304001,47.18614718614719,5
Leve Premio (0.5 a 1.5),136,-1.6585230857892763,-1.118775022281665,0.05393736816072981,36.029411764705884,5
Caro (1.5 a 2.5),63,0.5520794701528379,0.8127411179123412,0.05999938773084723,53.96825396825397,5
Muito Caro (>2.5),11,-3.107033861844991,-2.63158206898646,0.04621214875957128,27.27272727272727,5
Muito Barato (<-2.5),24,4.293534515721344,2.6348833248032166,0.05900493512932108,70.83333333333334,10
Barato (-2.5 a -1.5),146,1.7077454781974053,1.636420527769189,0.06321311742191252,59.61538461538461,10
Leve Desc (-1.5 a -0.5),303,-0.3474861220708218,-0.4612101916889322,0.07823421053534454,47.85478547854785,10
Neutro,231,-0.2659746095118212,-0.6514646634046772,0.06483170858942736,45.45454545454545,10
Leve Premio (0.5 a 1.5),136,-2.5669863254848755,-3.1179975086278233,0.06843417414855862,33.82352941176471,10
Caro (1.5 a 2.5),63,-0.8184744443179156,-0.5339961189872011,0.0896217061164199,46.03174603174603,10
Muito Caro (>2.5),11,-3.5785415222998473,-4.790587184076234,0.10482293412790157,36.36363636363637,10
Muito Barato (<-2.5),24,5.610665060811021,5.653239139908495,0.06629865198382563,75.0,20
Barato (-2.5 a -1.5),136,2.2725181687845017,1.7520294852755969,0.08185518771555936,54.48717948717948,20
Leve Desc (-1.5 a -0.5),303,-0.9646852736874708,-2.053714312919075,0.11291372250199036,44.554455445544555,20
Neutro,231,-0.9801642666868898,-2.170060484742109,0.0856176394551739,41.55844155844156,20
Leve Premio (0.5 a 1.5),136,-1.9455391505662654,-2.6776077951015997,0.09284663791678859,39.705882352941174,20
Caro (1.5 a 2.5),63,-2.3700156819338405,-2.9589318761319205,0.1176975460253048,39.682539682539684,20
Muito Caro (>2.5),11,-7.347066397224309,-8.559307449431873,0.08898603525373763,27.27272727272727,20
Muito Barato (<-2.5),24,4.212319278739772,4.891198879065895,0.1264448376492444,79.16666666666666,40
Barato (-2.5 a -1.5),128,0.18916415967244055,-1.7249416392884298,0.12896696754926318,35.256410256410255,40
Leve Desc (-1.5 a -0.5),291,0.8328163336213609,0.1800807693998152,0.14878526524151828,48.18481848184818,40
Neutro,231,-2.9229873910939013,-4.563561012100914,0.09613649245480343,32.900432900432904,40
Leve Premio (0.5 a 1.5),136,-4.620581604553524,-5.735725813882642,0.13168291541793145,33.82352941176471,40
Caro (1.5 a 2.5),63,-4.015506217721106,-1.8766320737584885,0.13792006426645026,34.92063492063492,40
Muito Caro (>2.5),11,-4.830794486107562,-6.1459640890002,0.06146170210670217,18.181818181818183,40
