z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),7,1.1320713261049458,0.8252595474533608,0.054781294496737125,57.14285714285714,5
Barato (-2.5 a -1.5),86,-0.571316051726602,-1.0919573120156734,0.053474655758633374,38.372093023255815,5
Leve Desc (-1.5 a -0.5),240,0.7539240082438368,0.4139850557206337,0.0477166464307607,55.833333333333336,5
Neutro,211,-0.8551951875505173,-0.7051184096728336,0.05075363761357878,43.127962085308056,5
Leve Premio (0.5 a 1.5),176,-0.1280595525224127,-0.4674857832628443,0.0465966489548654,46.590909090909086,5
Caro (1.5 a 2.5),175,0.6756937473516397,1.070279462864776,0.04521653396745675,58.88888888888889,5
Muito Caro (>2.5),24,0.4480105240750413,1.2662537827298648,0.044070578820523246,62.5,5
Muito Barato (<-2.5),7,3.7573430239310737,5.748787122144661,0.09091280701412226,57.14285714285714,10
Barato (-2.5 a -1.5),86,-0.7077166762570855,-0.6392041944049354,0.079284269751759,46.51162790697674,10
Leve Desc (-1.5 a -0.5),240,0.845543897990376,0.39277721417945166,0.06295742839600785,52.083333333333336,10
Neutro,211,-1.29224920930387,-1.0976986305064607,0.07367010585373211,43.127962085308056,10
Leve Premio (0.5 a 1.5),176,-0.07520875061479744,-1.013050622108369,0.06840804224027419,46.02272727272727,10
Caro (1.5 a 2.5),171,1.3285505944103133,2.348066676061844,0.06357821007704316,60.0,10
Muito Caro (>2.5),23,1.5101929706485113,0.9654001126637723,0.06483553366595796,58.333333333333336,10
Muito Barato (<-2.5),7,9.042923060882227,4.450222842732443,0.12188598062394802,71.42857142857143,20
Barato (-2.5 a -1.5),86,0.8206586915466836,-0.9335180178645319,0.10961831443599233,47.674418604651166,20
Leve Desc (-1.5 a -0.5),240,0.9856454633288155,1.04130292061122,0.08664447479575384,60.416666666666664,20
Neutro,211,-0.7817343903336021,-2.7987410440872607,0.11329088481766637,44.07582938388626,20
Leve Premio (0.5 a 1.5),171,-0.6831017585866205,-3.8622083293865073,0.09991839670857146,39.77272727272727,20
Caro (1.5 a 2.5),166,1.0295327808315167,2.760626998916327,0.10234444519085877,53.888888888888886,20
Muito Caro (>2.5),23,2.594797324731256,1.0780288409718342,0.08817572250049958,70.83333333333334,20
Muito Barato (<-2.5),7,18.011937274576333,4.284172988756163,0.2917510714900901,57.14285714285714,40
Barato (-2.5 a -1.5),86,4.230688271678383,-0.4353995309199943,0.17227445505054045,50.0,40
Leve Desc (-1.5 a -0.5),240,0.5825019410668406,0.7723163479574913,0.152398137495388,53.333333333333336,40
Neutro,208,1.8177866586698042,2.8412242274936217,0.1444748805354439,57.345971563981045,40
Leve Premio (0.5 a 1.5),157,-1.3564374818586185,-3.3511764539624123,0.1403493772492602,36.93181818181818,40
Caro (1.5 a 2.5),163,-2.858243713534677,-4.797639023945655,0.14656603359687817,37.77777777777778,40
Muito Caro (>2.5),23,4.828791729325041,4.21188057811519,0.1087598457541243,75.0,40
