z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),3,-1.1374040501267557,-0.829110300046354,0.006191471009065228,0.0,5
Barato (-2.5 a -1.5),98,-0.45798532824646765,-0.8511724453774405,0.04389980558164682,42.857142857142854,5
Leve Desc (-1.5 a -0.5),173,0.04109362515567951,-0.3319384416631377,0.04849242217842885,42.77456647398844,5
Neutro,151,0.8268731375052139,0.832057450095669,0.04737598986287671,58.94039735099338,5
Leve Premio (0.5 a 1.5),204,0.24969404336949635,0.3809598406012582,0.04430863168190292,53.883495145631066,5
Caro (1.5 a 2.5),231,0.7585174054925942,0.7737773248390978,0.03842672586881336,55.98290598290598,5
Muito Caro (>2.5),59,1.143126171724584,1.3822748487368752,0.03265224159865795,64.40677966101694,5
Muito Barato (<-2.5),3,-0.7933715926087862,-1.4200586664078974,0.021614260626609032,33.33333333333333,10
Barato (-2.5 a -1.5),98,-1.3799259410311258,-1.958953371944877,0.058169588977604186,42.857142857142854,10
Leve Desc (-1.5 a -0.5),173,0.06899050137043648,-0.7962587556815781,0.06319144691463634,45.08670520231214,10
Neutro,151,1.2719864689573497,1.9666290415431442,0.0557890143256596,58.94039735099338,10
Leve Premio (0.5 a 1.5),203,0.836329931603761,1.0273983332379943,0.06475532425313218,55.8252427184466,10
Caro (1.5 a 2.5),227,1.81366845771552,1.056154554324551,0.05891934603877467,60.68376068376068,10
Muito Caro (>2.5),59,1.3764109409150003,1.1087983173208027,0.03854678811237969,67.79661016949152,10
Muito Barato (<-2.5),3,3.9072476141374914,5.359592501956989,0.03673838165150897,66.66666666666666,20
Barato (-2.5 a -1.5),98,-2.319780217695364,-4.288190615512893,0.08872511511665455,41.83673469387755,20
Leve Desc (-1.5 a -0.5),173,0.13510665040447054,0.9322918749442799,0.08696353233672931,51.445086705202314,20
Neutro,151,1.3967965757713279,0.9223767078471834,0.07942626191908046,54.3046357615894,20
Leve Premio (0.5 a 1.5),202,1.5689932493960377,1.2770113902293545,0.08609303334358591,54.85436893203883,20
Caro (1.5 a 2.5),218,4.655647845239786,4.200923008952806,0.08129077603695396,63.24786324786324,20
Muito Caro (>2.5),59,3.2485080891859273,2.6074446191506118,0.0620205825027933,67.79661016949152,20
Muito Barato (<-2.5),3,5.33528175357115,3.5006836055420765,0.03558382585229033,100.0,40
Barato (-2.5 a -1.5),98,-2.285104818032533,-2.7033782577066234,0.09720040427291739,39.795918367346935,40
Leve Desc (-1.5 a -0.5),173,-2.9829462419349793,-3.210910858118232,0.13582772533787754,43.93063583815029,40
Neutro,151,2.178454437902467,1.50829980881928,0.12523946812312023,56.29139072847682,40
Leve Premio (0.5 a 1.5),201,7.613587325830336,4.28942840138844,0.14363236792940262,64.56310679611651,40
Caro (1.5 a 2.5),199,7.754937484400914,6.499997344210162,0.11402490808737521,61.965811965811966,40
Muito Caro (>2.5),59,7.629136288874423,7.692309189379398,0.07621620275883452,84.7457627118644,40
