z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),15,2.0994249747524174,0.6704113153274571,0.042281099764115836,66.66666666666666,5
Barato (-2.5 a -1.5),112,0.4794443538091969,-0.12055960635664609,0.053389298304081616,48.214285714285715,5
Leve Desc (-1.5 a -0.5),136,-0.5153039507132985,-0.8499296248570598,0.05154627822126351,44.11764705882353,5
Neutro,184,-0.3529682444272432,-0.45326999886899366,0.043988567806522785,45.108695652173914,5
Leve Premio (0.5 a 1.5),159,1.448357286050757,1.3787468497021838,0.04602216368877875,64.77987421383648,5
Caro (1.5 a 2.5),273,0.5195617278775063,0.616568144032259,0.03642657754900923,57.194244604316545,5
Muito Caro (>2.5),40,-0.27878823775777745,0.04586792319672961,0.028700478282656396,50.0,5
Muito Barato (<-2.5),15,2.0084481006421706,0.9874410864398442,0.06071611998252832,60.0,10
Barato (-2.5 a -1.5),112,1.6430654006295176,0.3914446417986217,0.0675351396167921,53.57142857142857,10
Leve Desc (-1.5 a -0.5),136,-1.576250304323181,-2.380529909435608,0.07031021062469744,38.970588235294116,10
Neutro,184,-0.6167252021264582,-1.237769157909202,0.06186418174855634,41.84782608695652,10
Leve Premio (0.5 a 1.5),159,2.4463775020222718,2.2538515446405283,0.0626149363548881,66.0377358490566,10
Caro (1.5 a 2.5),269,1.2340519675737827,1.497423459600311,0.04606543046347119,58.992805755395686,10
Muito Caro (>2.5),39,-0.20698010147548207,0.9519325138850565,0.043925649336467074,60.0,10
Muito Barato (<-2.5),15,1.1869505201295898,0.9489897873862452,0.05207000380657194,53.333333333333336,20
Barato (-2.5 a -1.5),112,2.717738277068421,-0.24072132735875607,0.11206163725823749,47.32142857142857,20
Leve Desc (-1.5 a -0.5),136,-2.4476496990664858,-2.964591967349323,0.09815677997801595,36.029411764705884,20
Neutro,184,-0.9097852031233493,-1.5549152413673384,0.08268203495120754,42.391304347826086,20
Leve Premio (0.5 a 1.5),159,4.658905561287464,5.997309164807296,0.08138218156886223,71.69811320754717,20
Caro (1.5 a 2.5),259,2.2651574940759898,2.3742922728610782,0.06499659187156036,57.55395683453237,20
Muito Caro (>2.5),39,1.379922222455154,1.2581582347680031,0.055140942700397,60.0,20
Muito Barato (<-2.5),15,8.14580251658017,3.446256993547836,0.13800726456516937,73.33333333333333,40
Barato (-2.5 a -1.5),112,8.127096576590432,9.911634151382431,0.16572150232497074,68.75,40
Leve Desc (-1.5 a -0.5),136,-0.9296249972060503,-4.023602094421297,0.1380755827515921,41.911764705882355,40
Neutro,184,-3.513154918598134,-5.019397578895707,0.12106789301855907,36.41304347826087,40
Leve Premio (0.5 a 1.5),149,6.102477754152816,10.123634225991719,0.12059044106015797,64.15094339622641,40
Caro (1.5 a 2.5),249,4.831760832842255,6.2928040175727284,0.09856919294732255,64.02877697841727,40
Muito Caro (>2.5),39,2.0713254483609145,1.373752512496207,0.07958348376628896,60.0,40
