z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),16,0.2435164926097584,-0.2788237556151485,0.08255898289777662,50.0,5
Barato (-2.5 a -1.5),122,-0.42499196645781057,-2.232334339109948,0.08320170189881014,42.62295081967213,5
Leve Desc (-1.5 a -0.5),273,-0.7644137312727532,-1.3980954895268294,0.07621045344161148,41.75824175824176,5
Neutro,174,-0.02314609424211495,0.3952735104843952,0.08373850515504985,51.39664804469274,5
Leve Premio (0.5 a 1.5),175,-0.2554720997391746,-0.7896669629697817,0.07876672123986689,46.85714285714286,5
Caro (1.5 a 2.5),136,2.3657742153968266,1.8573014297499468,0.07075678459201439,61.76470588235294,5
Muito Caro (>2.5),23,3.5730342945375098,6.048995779633803,0.08395188434792325,73.91304347826086,5
Muito Barato (<-2.5),16,3.0124963801559588,4.876604810830698,0.08970766883339987,62.5,10
Barato (-2.5 a -1.5),122,-2.069411429740793,-4.708272838052402,0.11071897808990327,33.60655737704918,10
Leve Desc (-1.5 a -0.5),273,-0.7152052181797147,-1.3496928256949037,0.10185590078131335,43.58974358974359,10
Neutro,171,0.12199365597106515,-1.7231161670166584,0.14297193344968515,41.340782122905026,10
Leve Premio (0.5 a 1.5),173,-0.23959168394004243,-0.5545243102338615,0.1140679846251491,48.0,10
Caro (1.5 a 2.5),136,3.852563595235625,3.8666750294681362,0.10236210354639007,60.29411764705882,10
Muito Caro (>2.5),23,9.45653572595082,10.823807971660692,0.11311199813292852,82.6086956521739,10
Muito Barato (<-2.5),16,-0.4910704356901885,-1.3142983277207199,0.09069752508218432,31.25,20
Barato (-2.5 a -1.5),122,-3.3801747287234827,-2.5864191248394897,0.1024210185940814,40.98360655737705,20
Leve Desc (-1.5 a -0.5),273,-1.8240392002406556,-4.240638325860802,0.14881989506793178,39.56043956043956,20
Neutro,161,2.265049703881755,-1.2282648044079303,0.22960956639652233,41.340782122905026,20
Leve Premio (0.5 a 1.5),173,1.05576785581572,-1.7316001231106881,0.17492076635201326,46.285714285714285,20
Caro (1.5 a 2.5),136,5.767090338426657,5.749623078909593,0.163505204264786,67.64705882352942,20
Muito Caro (>2.5),23,16.83342271541723,19.05092897076559,0.19829883336412069,86.95652173913044,20
Muito Barato (<-2.5),16,-1.8334392992829482,-2.373288266854501,0.1810817917577761,43.75,40
Barato (-2.5 a -1.5),122,-9.043884859240624,-9.47685219436138,0.1650234585196715,15.573770491803279,40
Leve Desc (-1.5 a -0.5),273,2.281219115669263,-9.5569118393678,0.3348017292931192,34.065934065934066,40
Neutro,144,4.332641356418431,-4.935010597061041,0.4311350347678942,26.256983240223462,40
Leve Premio (0.5 a 1.5),170,4.721858750391152,-0.3440311443144273,0.2673560672343282,47.42857142857143,40
Caro (1.5 a 2.5),136,6.154505448793602,3.928128330845937,0.2354574904917525,56.61764705882353,40
Muito Caro (>2.5),23,29.6996505804166,28.96291834605953,0.21668262579693562,95.65217391304348,40
