z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate
Muito Barato (<-2.5),7,2.135714574420936,1.666659331508935,0.0359313611060047,85.71428571428571
Barato (-2.5 a -1.5),108,0.3347008378440697,0.1926673676248103,0.02718213334275,51.85185185185185
Leve Desc (-1.5 a -0.5),203,-0.2503528463155422,-0.4537246272599771,0.0262050132569484,44.82758620689656
Neutro,200,0.816893655297595,0.0739019993633571,0.0373850535142847,51.0
Leve Premio (0.5 a 1.5),289,0.1809056348830274,-0.0685036979502617,0.0257086535022825,47.781569965870304
Caro (1.5 a 2.5),96,-1.1586849253705311,-1.1846607317145652,0.0333732172024213,26.804123711340207
Muito Caro (>2.5),16,-0.2572360589431937,0.6946483423016458,0.0502823137966933,50.0
Muito Barato (<-2.5),18,0.453082180562131,-0.8285014430701398,0.0467985658593075,33.33333333333333
Barato (-2.5 a -1.5),69,0.4083615445779459,0.0,0.0407174546658234,49.275362318840585
Leve Desc (-1.5 a -0.5),164,-0.2725175064706079,-0.2334959638115308,0.0428044628522413,46.95121951219512
Neutro,192,-0.006989205855144,-0.0270619059137,0.036167974897555,48.95833333333333
Leve Premio (0.5 a 1.5),236,0.5663687550273464,0.5023070893725223,0.036655293281075,59.32203389830508
Caro (1.5 a 2.5),207,0.4378980571737468,0.6506712711064067,0.0387289417812214,55.66037735849056
Muito Caro (>2.5),31,2.2682592617266994,2.8957596757003268,0.0308268550014922,77.41935483870968
Muito Barato (<-2.5),24,-0.8859719865646437,-2.41229483670769,0.0709481479172617,20.833333333333336
Barato (-2.5 a -1.5),127,-1.1884656921759689,-1.5678281897378743,0.0579673209805366,46.45669291338583
Leve Desc (-1.5 a -0.5),233,-0.409901947589134,-0.2943357988853701,0.0637006138012728,47.86324786324786
Neutro,185,-0.6015854729279738,-0.4231370718144944,0.0539298719146988,45.5026455026455
Leve Premio (0.5 a 1.5),195,0.2160610443512992,-0.3595238912305287,0.0451242431550921,47.179487179487175
Caro (1.5 a 2.5),135,0.9318199031999872,1.0468643788786425,0.0524370486303164,59.25925925925925
Muito Caro (>2.5),20,0.9637787869949616,1.3531791248498235,0.0419283200852949,60.0
Muito Barato (<-2.5),24,-0.5361073314270669,-0.8950336657006841,0.0172699083654713,37.5
Barato (-2.5 a -1.5),126,-0.5105845759988629,-0.4768192192974141,0.02862667274995,37.3015873015873
Leve Desc (-1.5 a -0.5),161,0.1279638975399969,0.0741847158565178,0.0276918440832043,50.31055900621118
Neutro,190,0.3579292644481118,0.0348946130856897,0.0305318950477955,50.0
Leve Premio (0.5 a 1.5),161,0.6636989774550492,0.2144410293074994,0.0340797297338047,53.41614906832298
Caro (1.5 a 2.5),173,-0.033796759845475,0.0750689483480782,0.0361392080955303,50.0
Muito Caro (>2.5),20,-0.7901993960700932,-0.5175040233464157,0.0271685742528619,40.0
Muito Barato (<-2.5),9,-5.097317302192715,-4.4957971811950825,0.0595480100248794,22.22222222222222
Barato (-2.5 a -1.5),152,0.1592503578778129,-2.489264973967304,0.1811757306756004,40.131578947368425
Leve Desc (-1.5 a -0.5),374,-1.3560895656922998,-2.676335183789313,0.1348708187979279,35.09234828496042
Neutro,216,-0.608541651374949,-1.339128125557182,0.0941841170122477,44.44444444444444
Leve Premio (0.5 a 1.5),121,-2.761207205442111,-2.884616629404324,0.0760501627278007,34.710743801652896
Caro (1.5 a 2.5),31,1.3000671662602412,0.9073477643898098,0.1171607810472261,51.61290322580645
Muito Caro (>2.5),16,3.871080174683551,2.9878945473676644,0.0548398079051132,75.0
Muito Barato (<-2.5),5,0.760799849850049,-0.3782125164773386,0.0301886339585371,40.0
Barato (-2.5 a -1.5),95,0.2950312652814265,0.4672914957249308,0.0463949013274982,52.63157894736842
Leve Desc (-1.5 a -0.5),247,0.3437006471603434,-0.3805963274925772,0.0528957201871844,45.74898785425101
Neutro,214,0.2636254215462602,-0.1183019156004494,0.0500795030210981,48.13084112149533
Leve Premio (0.5 a 1.5),210,0.572076607887653,0.072261670433471,0.0506353812639894,49.30232558139535
Caro (1.5 a 2.5),140,-1.0548305397760205,-1.2517961565120197,0.0534264386805604,37.142857142857146
Muito Caro (>2.5),8,0.1551698666923215,0.4169138949611906,0.0244884456188912,50.0
Muito Barato (<-2.5),0,,,,
Barato (-2.5 a -1.5),84,-0.3363054523747726,-0.1782539563710383,0.035649645840742,45.23809523809524
Leve Desc (-1.5 a -0.5),193,0.6576761483144099,0.0748740911121537,0.0317570042194605,50.77720207253886
Neutro,186,-0.262220696122682,-0.3291880872511588,0.0350892158485337,43.45549738219896
Leve Premio (0.5 a 1.5),255,0.6665251529051254,0.488960382929049,0.0385967844082446,53.72549019607843
Caro (1.5 a 2.5),170,0.5192384753200038,0.4965268437289283,0.0423038353702482,58.235294117647065
Muito Caro (>2.5),31,0.4101666911003253,-1.135361699790749,0.0415202603654371,41.935483870967744
Muito Barato (<-2.5),3,0.3657933908097247,-0.0968697566854359,0.0262431836563816,33.33333333333333
Barato (-2.5 a -1.5),70,0.6584094390330297,0.5865548428165002,0.0352010463225879,61.42857142857143
Leve Desc (-1.5 a -0.5),205,0.0703525426965894,-0.2781592653742448,0.036763591451417,45.85365853658537
Neutro,151,-0.1344140345170259,-0.151054548029994,0.042987983711799,47.01986754966888
Leve Premio (0.5 a 1.5),220,0.2325842068005967,0.4092708290309166,0.0402465551544666,54.95495495495496
