z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Sharpe,Drawdown
Muito Barato (<-2.5),7,-0.7348457909596563,-0.530305497583361,0.0323569351710559,28.57142857142857,-22.71061101319582,-0.7672027261307122
Barato (-2.5 a -1.5),108,2.037842878223997,0.7895008190333064,0.0542280925136775,51.85185185185185,37.579098695586794,1.9836147857103195
Leve Desc (-1.5 a -0.5),203,1.3674780819868118,-1.2479187651255552,0.0713510450276641,45.320197044334975,19.16549452486815,1.2961270369591475
Neutro,200,1.4080197594808708,0.7869841321353599,0.0749786559545751,53.5,18.778940790229175,1.3330411035262957
Leve Premio (0.5 a 1.5),275,-0.7300831283152455,-1.2361674123093969,0.0434414436870398,37.8839590443686,-16.80614292583728,-0.7735245720022853
Caro (1.5 a 2.5),95,-1.1351714241781603,-1.2881293608751232,0.049477990050935,37.11340206185567,-22.942957061647082,-1.1846494142290953
Muito Caro (>2.5),16,-1.4871740479453983,0.2854175758921773,0.0965805040736445,50.0,-15.398284020273028,-1.5837545520190428
Muito Barato (<-2.5),18,4.392778195921836,4.250796085786723,0.0523157913088776,83.33333333333334,83.96658068344718,4.340462404612959
Barato (-2.5 a -1.5),69,1.1981185502030751,-0.2392171980102331,0.0721920004020817,49.275362318840585,16.596278354024506,1.1259265498009934
Leve Desc (-1.5 a -0.5),164,-1.0832944156831998,-0.6802827123933097,0.0782524833314657,45.73170731707317,-13.843578576937293,-1.1615468990146656
Neutro,192,0.4606622170391141,0.657634608587343,0.0797963452220297,53.645833333333336,5.772973812075836,0.38086587181708437
Leve Premio (0.5 a 1.5),236,2.028805228458751,1.574964311673599,0.0741498329677369,57.6271186440678,27.36088700268025,1.9546553954910144
Caro (1.5 a 2.5),193,1.6375086487363335,0.9478518950611914,0.0783832608521373,51.41509433962265,20.891050079356745,1.5591253878841962
Muito Caro (>2.5),30,10.750356015908078,13.554894646423213,0.074129369914971,83.87096774193549,145.02154656403485,10.676226645993108
Muito Barato (<-2.5),24,-4.425952706290928,-4.190465448924241,0.088959180522523,8.333333333333332,-49.75262396237705,-4.514911886813451
Barato (-2.5 a -1.5),127,-5.954660577146584,-6.55527405369728,0.1108400377309216,30.70866141732284,-53.723010613540886,-6.065500614877506
Leve Desc (-1.5 a -0.5),233,-2.0099789577566853,-3.0962385185651087,0.1318779784585589,43.58974358974359,-15.241202253847828,-2.141856936215244
Neutro,173,1.4451828702250455,0.1499149977013392,0.0989745045031166,46.03174603174603,14.601566967965688,1.346208365721929
Leve Premio (0.5 a 1.5),192,0.7241025294150456,0.0159826015626807,0.0910884154535023,49.23076923076923,7.949446895749655,0.6330141139615433
Caro (1.5 a 2.5),135,2.8035114033284017,0.438592846960173,0.1111807490279367,51.85185185185185,25.215798621829368,2.692330654300465
Muito Caro (>2.5),20,4.001060891008034,2.281681571818661,0.1006035212078395,60.0,39.77058459983276,3.9004573698001948
Muito Barato (<-2.5),24,-0.922427091443069,-1.103405548006514,0.0263255484336508,37.5,-35.03923417696919,-0.9487526398767198
Barato (-2.5 a -1.5),126,-3.368036371537709,-3.567830670122291,0.0763804565617109,27.77777777777778,-44.09552494257493,-3.44441682809942
Leve Desc (-1.5 a -0.5),161,2.3707911048204404,2.3138008174796942,0.0678063495373773,59.62732919254658,34.964145482414295,2.302984755283063
Neutro,190,0.5624937153235288,-0.1398152533280405,0.0500061482893753,46.8421052631579,11.248490901958743,0.5124875670341534
Leve Premio (0.5 a 1.5),160,1.5401939247884011,0.8985392294584837,0.0622645056393173,53.41614906832298,24.73630657206294,1.4779294191490837
Caro (1.5 a 2.5),160,0.3134913314423715,-0.2510625737084881,0.0582672568260865,41.57303370786517,5.3802314222177126,0.255224074616285
Muito Caro (>2.5),19,0.912502678397068,0.710656772723639,0.0492209678080449,50.0,18.53890121414929,0.8632817105890231
Muito Barato (<-2.5),9,1.3783368124296418,-7.48476652574862,0.2220292295076106,44.44444444444444,6.207906991698537,1.1563075829220313
Barato (-2.5 a -1.5),152,-2.081299272478883,-2.58227910864679,0.3031550112172862,42.76315789473684,-6.865462184696167,-2.384454283696169
Leve Desc (-1.5 a -0.5),359,-2.73258879865692,-10.434780950131628,0.3311052751554198,26.649076517150394,-8.252930398409752,-3.0636940738123397
Neutro,216,-3.406783996612995,-6.713580425286569,0.2014685982816877,30.55555555555556,-16.90975173679411,-3.6082525948946826
Leve Premio (0.5 a 1.5),121,-8.957782755440299,-12.96625020439912,0.1946055385758888,12.396694214876034,-46.030461285749276,-9.152388294016188
Caro (1.5 a 2.5),31,6.509566751321849,-9.04693194161169,0.2514988955352436,45.16129032258064,25.883082753047525,6.258067855786605
Muito Caro (>2.5),16,-2.7669908472910745,-4.3565465075343095,0.1600399811900575,37.5,-17.289372376992016,-2.927030828481132
Muito Barato (<-2.5),5,-0.9099315466771564,-3.555217353060902,0.074827905788496,20.0,-12.160323410477234,-0.9847594524656523
Barato (-2.5 a -1.5),95,0.7635436896463109,0.0,0.0810791784097723,49.47368421052632,9.417259710873228,0.6824645112365386
Leve Desc (-1.5 a -0.5),247,1.2763378619077617,-0.9328452603987848,0.0953267368250878,46.558704453441294,13.389085696498668,1.1810111250826738
Neutro,214,2.4996835451802712,3.711161077539949,0.0974491034122198,63.55140186915887,25.651170015953674,2.4022344417680515
Leve Premio (0.5 a 1.5),202,0.3491072917451293,-1.614739182590447,0.0999340654056993,45.11627906976744,3.4933762259595142,0.24917322633942998
Caro (1.5 a 2.5),133,-2.1316954373270534,-1.5134615911497007,0.0849810818051753,38.57142857142858,-25.08435250482869,-2.216676519132229
Muito Caro (>2.5),8,-1.675978105501612,-3.260035412994655,0.0437961261243793,37.5,-38.26772400997694,-1.7197742316259914
Muito Barato (<-2.5),0,,,,,,
Barato (-2.5 a -1.5),84,1.32785205212587,0.3495259791549743,0.0784417931372948,51.19047619047619,16.927864370386054,1.2494102589885754
Leve Desc (-1.5 a -0.5),192,2.640722744777788,0.7686642198664662,0.0748829197786587,55.95854922279793,35.26468675792334,2.5658398249991294
Neutro,172,1.9712008989867988,-0.5893555986914711,0.0812715027661795,42.93193717277487,24.254514899318234,1.8899293962206194
Leve Premio (0.5 a 1.5),255,0.5757082595484542,0.7741246607643415,0.0767934574197037,56.07843137254902,7.496839853233367,0.4989148021287505
Caro (1.5 a 2.5),170,1.7795881726851044,1.907303994105536,0.0817987048297329,60.588235294117645,21.75570083455091,1.6977894678553715
Muito Caro (>2.5),31,-1.7669034778654478,-2.7422613244269423,0.0554181603679192,25.806451612903224,-31.88311257991831,-1.822321638233367
Muito Barato (<-2.5),3,5.783110362686358,6.7829632061343625,0.0553431334754649,66.66666666666666,104.49553350199503,5.727767229210893
Barato (-2.5 a -1.5),70,3.135496884496684,1.590104960042793,0.0678041504619846,68.57142857142857,46.24343520108274,3.0676927340346998
Leve Desc (-1.5 a -0.5),205,1.8807195197058133,0.7023507037795751,0.0844717932978462,55.1219512195122,22.264467510592073,1.796247726407967
Neutro,151,0.198765135861746,-1.1913429130396058,0.0817796353782741,43.70860927152318,2.4304966940957287,0.1169855004834719
Leve Premio (0.5 a 1.5),218,0.286008749646358,1.5900714697566487,0.0898731581277418,57.20720720720721,3.1823600329864625,0.19613559151861618
Caro (1.5 a 2.5),219,0.7512009099910494,1.2145198592651951,0.0728714544275096,52.76595744680851,10.3085756361532,0.6783294555635397
Muito Caro (>2.5),38,2.1919762563433,2.7765945994372765,0.071495083457112,65.78947368421053,30.659118357405507,2.120481172886188
Muito Barato (<-2.5),4,-2.896032719277766,-5.586177833662331,0.0747213988559073,25.0,-38.75774175621005,-2.9707541181336734
Barato (-2.5 a -1.5),81,2.496694192328597,2.4106048219483034,0.0758625543996788,64.19753086419753,32.910757872244936,2.420831637928918
Leve Desc (-1.5 a -0.5),193,2.322763995292647,1.1521483588561976,0.0922340175276324,53.8860103626943,25.18337628970129,2.2305299777650145
Neutro,161,-0.2363739024777675,-1.0757345424640683,0.095096248780575,45.3416149068323,-2.485628013966654,-0.3314701512583425
Leve Premio (0.5 a 1.5),198,0.4260325095039199,2.0160110840167333,0.0972725782506842,58.82352941176471,4.379780126997335,0.3287599312532357
Caro (1.5 a 2.5),225,0.2275867364628138,0.4791432573345577,0.0774736734581221,48.11715481171548,2.9376009083683563,0.15011306300469168
Muito Caro (>2.5),42,4.525481167601699,5.791000423421311,0.0700805947239161,66.66666666666666,64.57538097178742,4.455400572877783
Muito Barato (<-2.5),7,1.98560208064754,1.5115582944025483,0.041019609021704,71.42857142857143,48.40616669921856,1.944582471625836
Barato (-2.5 a -1.5),54,1.809388760213908,1.53333772686165,0.0318631369895031,75.92592592592592,56.786270103402494,1.777525623224405
Leve Desc (-1.5 a -0.5),215,1.925750350276564,1.503761728509545,0.0466524657804837,65.11627906976744,41.27863933407633,1.8790978844960804
Neutro,197,1.1211861557842306,1.2128943320729002,0.0523709827292771,53.990610328638496,21.408537246121096,1.0688151730549535
Leve Premio (0.5 a 1.5),199,1.1228278245937078,0.1872822446606692,0.0540892649102299,50.73891625615764,20.758792076365513,1.068738559683478
Caro (1.5 a 2.5),172,1.7182234624364945,2.782961551645635,0.0534524696642154,68.02325581395348,32.144883876935296,1.6647709927722791
Muito Caro (>2.5),60,1.6209379413176148,0.8862375032641645,0.0556051832820897,56.66666666666666,29.150841998732755,1.5653327580355252
Muito Barato (<-2.5),9,7.759750692459698,4.833332352858499,0.0850610832021744,88.88888888888889,91.22562644529914,7.674689609257523
Barato (-2.5 a -1.5),136,3.4175702299031747,2.1741048166280863,0.0987860643061697,61.76470588235294,34.59567115373032,3.318784165597005
Leve Desc (-1.5 a -0.5),316,1.166872863067261,-1.4895631358659067,0.1290494003722562,43.9873417721519,9.042063354492415,1.0378234626950047
Neutro,200,-2.1390783440096204,-4.1732290829019805,0.1318746094310561,37.32057416267943,-16.220547207818505,-2.2709529534406765
Leve Premio (0.5 a 1.5),133,-3.1636129600444143,-4.169613706832365,0.1070773494411611,36.11111111111111,-29.545118057275957,-3.2706903094855755
Caro (1.5 a 2.5),87,-7.416042517980641,-7.248321644186594,0.121329695462212,21.83908045977012,-61.12306165943767,-7.537372213442852
Muito Caro (>2.5),23,-2.499778919244098,-7.680491135024559,0.1661869677155784,26.08695652173913,-15.041967120312293,-2.6659658869596763
Muito Barato (<-2.5),15,6.623784660611099,6.456456438314517,0.0748016675564956,80.0,88.5512955584452,6.5489829930546035
Barato (-2.5 a -1.5),95,2.742192096529549,1.3333476221118137,0.076776447803839,61.05263157894737,35.716578967278735,2.66541564872571
Leve Desc (-1.5 a -0.5),156,2.3384164415411446,0.6643149114068048,0.084328563898665,56.41025641025641,27.729826119431138,2.2540878776424798
Neutro,117,-3.005927633770464,-4.486796590282749,0.0874718618911764,25.64102564102564,-34.36450916233639,-3.0933994956616404
Leve Premio (0.5 a 1.5),221,4.029013208414555,5.47890451115205,0.0904785813039955,61.53846153846154,44.53002142404961,3.9385346271105592
Caro (1.5 a 2.5),271,2.388225793570062,2.2040280574641136,0.0725223980505962,58.76288659793815,32.930871356088005,2.3157033955194657
Muito Caro (>2.5),29,6.639105415087643,10.026740414475045,0.0873449122357134,79.3103448275862,76.01021249137906,6.55176050285193
Muito Barato (<-2.5),2,6.362549426785924,6.362549426785924,0.0219706120134777,100.0,289.59362321310147,6.340578814772447
Barato (-2.5 a -1.5),126,-0.8734752053445433,-1.1547286240356225,0.0664526537659371,43.65079365079365,-13.144323705668972,-0.9399278591104804
Leve Desc (-1.5 a -0.5),358,0.4500688573622324,0.6366579902161273,0.0774606517979684,51.95530726256983,5.810290013125691,0.372608205564264
Neutro,193,-0.2891660968772044,-0.958142239183235,0.0838809823382238,46.63212435233161,-3.4473379468053285,-0.37304707921542823
Leve Premio (0.5 a 1.5),128,-1.2773170494729196,-0.8963690187120121,0.0634709194731248,46.875,-20.124445020673175,-1.3407879689460445
Caro (1.5 a 2.5),81,3.2601489870112355,4.453432288316539,0.0679819100053913,73.17073170731707,47.95612448659599,3.1921670770058443
Muito Caro (>2.5),16,11.585573001786605,11.755529426401743,0.0267221407187238,45.71428571428572,433.55705256471896,11.558850861067882
Muito Barato (<-2.5),9,1.0760405339390635,2.581599145960612,0.1106089280582233,55.55555555555556,9.728333355190953,0.9654316058808402
Barato (-2.5 a -1.5),237,2.597663533131791,0.8539485375308464,0.1253801125748012,51.89873417721519,20.718305790830513,2.4722834205569897
Leve Desc (-1.5 a -0.5),364,-4.206682333216819,-5.465212357779103,0.125480292756464,34.89583333333333,-33.52464524335014,-4.332162625973283
Neutro,159,-7.651719290838528,-11.03327688672604,0.1116107906658592,17.61006289308176,-68.55716348421105,-7.763330081504387
Leve Premio (0.5 a 1.5),74,0.4577202339933688,-7.363901631462733,0.1867263865421022,37.83783783783784,2.4512884334045406,0.27099384745126665
Caro (1.5 a 2.5),56,-5.5875795022837575,-10.151601087396516,0.1277594318169769,25.0,-43.735162086139674,-5.715338934100735
Muito Caro (>2.5),5,-11.632062400254677,-13.33333333333333,0.0663041815210574,0.0,-175.4348211224907,-11.698366581775733
Muito Barato (<-2.5),6,5.36593293605229,7.660189312359044,0.083927019176579,66.66666666666666,63.93570181286774,5.282005916875711
Barato (-2.5 a -1.5),37,7.867697464281016,7.879383710682664,0.049379518479603,91.8918918918919,159.3311872451674,7.818317945801413
Leve Desc (-1.5 a -0.5),103,7.829063891736967,7.2174797908526545,0.0736961320166652,83.49514563106796,106.2343921080167,7.7553677597203015
Neutro,116,2.680497624617523,2.7717092118542563,0.0685259645265455,65.51724137931035,39.116524721992505,2.6119716600909775
Leve Premio (0.5 a 1.5),337,1.0768928891040352,1.756012379080785,0.0592277467791891,58.67052023121387,18.182236020840623,1.0176651423248462
Caro (1.5 a 2.5),257,-0.0293595488248142,-0.3909844886893276,0.0520682650162462,42.91044776119403,-0.5638664597675197,-0.0814278138410604
Muito Caro (>2.5),48,-2.8323845382400554,-3.2805182182646497,0.0553536945581976,31.25,-51.16884265228781,-2.887738232798253
Muito Barato (<-2.5),7,3.598138942847099,-0.0443191119312791,0.1684103236321334,42.85714285714285,21.36531088997473,3.429728619214966
Barato (-2.5 a -1.5),55,0.7513373339631892,-2.54490206359046,0.1170401373674921,41.81818181818181,6.419484327710546,0.6342971965956972
Leve Desc (-1.5 a -0.5),279,2.120923136701061,1.9417468592523468,0.1079316083344784,55.19713261648745,19.650620886494455,2.0129915283665825
Neutro,242,1.574451454143739,0.5541333578005347,0.1006595606454035,51.83673469387755,15.641350194729707,1.4737918934983356
Leve Premio (0.5 a 1.5),194,0.3113563950801354,0.8380382612343529,0.129215341235916,48.34123222748815,2.40959308463289,0.1821410538442194
Caro (1.5 a 2.5),77,3.831373010756203,-2.395233040373268,0.1723524979850763,37.66233766233766,22.229866310716826,3.659020512771127
Muito Caro (>2.5),50,6.733185720061599,4.6568856563424905,0.1446570431646064,62.0,46.54585443070338,6.588528676896993
Muito Barato (<-2.5),6,4.861037404567265,6.846352981066639,0.1221013353461547,83.33333333333334,39.81150043097257,4.7389360692211095
Barato (-2.5 a -1.5),104,1.7276828931949963,2.8117526453076525,0.1091364192423013,62.5,15.830488936317026,1.6185464739526951
Leve Desc (-1.5 a -0.5),242,-3.5614761141865494,-6.854522776285233,0.1436215883070892,33.88429752066116,-24.79763753742804,-3.7050977024936387
Neutro,133,2.40665589205392,0.3921574652858917,0.1870568210329265,50.37593984962406,12.865908155064723,2.219599071020993
Leve Premio (0.5 a 1.5),220,4.891591364136013,4.312394797416874,0.1458660453149282,64.25339366515837,33.5348183330818,4.745725318821084
Caro (1.5 a 2.5),173,5.255143269040627,3.1446512306268604,0.1651079901420014,54.16666666666666,31.828521640245334,5.090035278898625
Muito Caro (>2.5),26,7.0977212583802265,5.054445177802847,0.1089461084180268,69.23076923076923,65.14891900495715,6.9887751499621995
Muito Barato (<-2.5),4,3.203112225733093,5.1483434772999,0.0524956222741978,75.0,61.01674817731823,3.150616603458895
Barato (-2.5 a -1.5),73,3.546268198334247,3.81506605226376,0.0448624265293904,78.08219178082192,79.04762166539038,3.5014057718048566
Leve Desc (-1.5 a -0.5),210,0.3002779707007449,-0.3676649280705879,0.0424933865058828,43.80952380952381,7.066463474091688,0.2577845841948621
Neutro,160,0.6264113252130776,-0.3700959680931148,0.0651825437438538,47.5,9.610108468067187,0.5612287814692238
Leve Premio (0.5 a 1.5),244,2.372901936354493,1.9673061942489525,0.0666798512504191,58.60655737704919,35.5864906155304,2.306222085104074
Caro (1.5 a 2.5),188,0.8988168729235271,0.7029662879788012,0.0633827612515182,54.92227979274611,14.180777880219283,0.8354341116720089
Muito Caro (>2.5),25,-0.3026089958031277,-0.8455464212066888,0.0577432035030587,27.500000000000004,-5.2405992775669095,-0.36035219930618645
Muito Barato (<-2.5),13,3.200612364588825,2.664054334098198,0.0828161837198834,61.53846153846154,38.647184429161314,3.1177961808689414
Barato (-2.5 a -1.5),67,3.782055663026655,2.729898727297475,0.0835979561618694,62.68656716417911,45.24100577844888,3.6984577068647857
Leve Desc (-1.5 a -0.5),130,3.0647208159055865,1.962125287638816,0.0690990174653026,66.15384615384615,44.35259550675826,2.995621798440284
Neutro,129,0.0792595141935324,-1.142867326296371,0.0595095498970116,42.63565891472868,1.3318788832854827,0.019749964296520803
Leve Premio (0.5 a 1.5),293,2.2426242255839512,1.834862882955535,0.0582387863141783,61.05610561056105,38.507399089300435,2.184385439269773
