Ticker,Regime Type,Best BB Dev,Max Vol Ratio,Robust Score,Stability Score,Overfit Risk,Param Sensitivity,Sharpe Opt,Calmar Opt,Max DD
EQTL3.SA,Híbrido,0.4000,1.4000,0.5682,6.0739,1.2582,0.0330,1.0073,0.7077,-0.2546
SUZB3.SA,Híbrido,0.8000,1.8500,0.2337,5.7822,1.2780,0.0131,0.2867,1.0906,-0.3379
PCAR3.SA,Híbrido,0.4000,1.7000,0.0473,5.6046,1.2743,0.0037,0.3780,0.1968,-0.5739
TOTS3.SA,Conservador (Calmaria),0.2000,0.8000,0.1180,5.4890,1.5184,0.0065,0.5792,0.2867,-0.4073
HYPE3.SA,Híbrido,0.8000,1.8500,0.0682,4.9246,1.3702,0.0043,0.5229,0.2068,-0.5864
IBM,Híbrido,0.3000,1.2500,0.0468,4.7156,1.4328,0.0034,0.4907,0.1485,-0.5582
ITUB4.SA,Híbrido,0.5000,1.1000,0.7721,4.5561,1.4239,0.0549,1.1169,0.8938,-0.2929
BBDC3.SA,Híbrido,0.4000,1.2500,0.2945,3.9627,1.2424,0.0303,0.8250,0.5020,-0.4065
TXN,Híbrido,0.8000,1.7000,0.0324,3.8959,1.2974,0.0026,0.4549,0.1275,-0.7905
ITSA4.SA,Híbrido,0.6500,1.1000,0.5401,3.7989,1.7971,0.0367,0.8826,0.7992,-0.3060
ENGI11.SA,Híbrido,0.6500,1.5500,0.3202,3.7529,1.2746,0.0319,0.7910,0.5354,-0.3224
ELET6.SA,Híbrido,0.8000,1.2500,0.4779,3.6549,1.5573,0.0375,0.9949,0.7079,-0.4736
SAP,Agressivo (Caos),0.2000,2.3000,0.0356,3.5998,1.3778,0.0026,0.4781,0.1360,-0.8278
EGIE3.SA,Conservador (Calmaria),0.2000,0.8000,0.6617,3.5430,1.2240,0.0530,0.9408,0.8274,-0.1764
AVGO,Híbrido,0.3500,1.4000,0.3386,3.4381,1.4020,0.0294,0.7284,0.5897,-0.2684
GOOG,Híbrido,0.4500,1.2500,0.2104,3.2334,1.8240,0.0204,0.8112,0.3737,-0.4410
MSFT,Agressivo (Caos),0.5000,2.3000,0.0690,3.2049,1.5488,0.0059,0.5362,0.2011,-0.5623
BBAS3.SA,Híbrido,0.7500,1.2500,0.5297,3.1981,1.8515,0.0332,1.0856,0.7125,-0.4602
SNPS,Híbrido,0.2000,1.2500,0.1566,3.1815,1.4308,0.0152,0.6257,0.3620,-0.4464
CPLE6.SA,Híbrido,0.2000,1.5500,0.1184,3.1813,1.7372,0.0092,0.6849,0.2853,-0.6499
CYRE3.SA,Híbrido,0.2000,1.2500,0.1832,3.1011,1.7462,0.0150,0.7050,0.4106,-0.5798
GGBR4.SA,Agressivo (Caos),0.3000,2.4500,0.1183,3.0057,1.5219,0.0123,0.7613,0.2834,-0.8232
LINK-USD,Híbrido,0.8000,2.0000,0.3936,2.9450,1.5291,0.0354,1.0150,0.7065,-0.8221
GOOGL,Híbrido,0.3500,1.2500,0.1817,2.9109,1.6931,0.0197,0.7492,0.3495,-0.4410
DOGE-USD,Híbrido,0.5500,1.1000,0.2093,2.8840,1.8136,0.0193,0.7488,0.4697,-0.6804
INTC,Híbrido,0.4000,1.4000,0.0204,2.8538,1.3604,0.0023,0.3693,0.0955,-0.7303
