ticker,regime,return,win,reason,days_held,date_entry,date_exit,hurst_entrada,entropy_entrada,halflife_entrada,sinal_tipo,phase,window
BEEF3.SA,BEAR_CALM,0.13477419192224857,1,END_CLOSED,14,2023-07-25,2023-08-08,-1.8984515612018473,1.2198550610981662,7.009912307790535,PRICE,TRAIN,2023-02-08_2023-08-08
BRKM5.SA,SIDEWAYS_CALM,0.007256692015451406,1,END_CLOSED,4,2023-08-04,2023-08-08,-0.2366499599182471,0.6912493155348995,16.962091969405748,PRICE,TRAIN,2023-02-08_2023-08-08
CSNA3.SA,BEAR_CALM,0.0019545300774897814,1,BEAR_OPTIMIZED,1,2023-07-20,2023-07-21,-1.1416935276057525,-0.4747212202747194,1.5797808603404762,PRICE,TRAIN,2023-02-08_2023-08-08
CSNA3.SA,SIDEWAYS_CALM,-0.011161611087623612,0,TIME_STOP,11,2023-07-24,2023-08-04,-1.291200917174297,0.09890240484108527,1.5576752763307442,PRICE,TRAIN,2023-02-08_2023-08-08
ENEV3.SA,SIDEWAYS_CALM,0.07420984349813362,1,SIGNAL,4,2023-07-20,2023-07-24,-0.9277519918484592,-0.005036816378249989,3.6705178379662806,PRICE,TRAIN,2023-02-08_2023-08-08
LWSA3.SA,SIDEWAYS_VOLATILE,0.04327634825519908,1,END_CLOSED,12,2023-07-27,2023-08-08,-2.1350709597386,0.9229327573842845,7.1874199683426845,PRICE,TRAIN,2023-02-08_2023-08-08
MGLU3.SA,BEAR_CALM,-0.0044573421399121335,0,STOP_TECNICO,10,2023-07-25,2023-08-04,-1.2161236718700528,-0.04028398805225078,9.011930340417338,PRICE,TRAIN,2023-02-08_2023-08-08
SANB11.SA,SIDEWAYS_CALM,-0.0012,0,END_CLOSED,0,2023-08-08,2023-08-08,0.39744576278130145,-0.48964227872512106,8.408852863576383,PRICE,TRAIN,2023-02-08_2023-08-08
BEEF3.SA,BEAR_CALM,0.1829541217942204,1,BEAR_OPTIMIZED,16,2023-07-25,2023-08-10,-1.8984515612018473,1.2198550610981662,7.009912307790535,PRICE,TRAIN,2023-03-08_2023-09-08
BEEF3.SA,BEAR_CALM,-0.05843908390750021,0,HARD_STOP,2,2023-08-29,2023-08-31,-1.2325883687964254,-3.4328562467928077,3.563825350053475,PRICE,TRAIN,2023-03-08_2023-09-08
BRKM5.SA,SIDEWAYS_CALM,-0.03037549873941594,0,TIME_STOP,12,2023-08-04,2023-08-16,-0.2366499599182471,0.6912493155348995,16.962091969405748,PRICE,TRAIN,2023-03-08_2023-09-08
